title,link,description,published,contributors
How do you make love last?,https://www.theguardian.com/australia-news/audio/2020/feb/12/how-do-you-make-love-last,"Morie and Liz met in London in 1980 but she was from Australia and he was from Iran. In this episode of Full Story, they tell how they overcame war, distance and disapproving parents to form a bond that has lasted 40 years",2020-02-12,Reporter  Alexandra Spring. Hosted by Gabrielle Jackson. Produced by Ellen Leabeater and Joe Koning. Miles Martignoni is the executive producer
Morrison’s strategy of confusion,https://www.theguardian.com/australia-news/audio/2020/feb/10/morrisons-strategy-of-confusion,"After weeks of bad press over the sports grants scandal, the government is trying to move on. However the way Scott Morrison has reacted to this issue is triggering some alarm bells. In this episode of Full Story, political editor Katharine Murphy breaks down Scott Morrison’s strategy of confusion, and what it could mean for our trust in the political system",2020-02-10,Reported by Katharine Murphy and presented by Laura Murphy-Oates. Produced by Ellen Leabeaterand Joe Koning. The executive producers are Miles Martignoniand Gabrielle Jackson.
Why do TV writers keep killing the people we love?,https://www.theguardian.com/australia-news/audio/2020/feb/07/why-do-tv-writers-keep-killing-the-people-we-love,"What do we learn from the death of fictional characters? Over the past few weeks, the Guardian has been collecting your unforgettable moments in Australian TV – and a lot of them revolve around death. In this episode of Full Story, we take a look at those moments: how they’re written, why they’re written, and why they affect us so much",2020-02-07,Reported by Steph Harmon and presented by Laura Murphy-Oates. Produced by Ellen Leabeater and Joe Koning. Executive produced by Miles Martignoni
Is the Australian government really ‘meeting and beating’ its emissions reduction targets?,https://www.theguardian.com/australia-news/audio/2020/feb/05/is-the-australian-government-really-meeting-and-beating-its-emissions-reduction-targets,"Scott Morrison regularly claims Australia is ‘meeting and beating’ its emissions reduction targets. But is that true? In this episode of Full Story, environment editor Adam Morton explains why we should focus less on targets and more on emissions.",2020-02-05,Reported by Adam Morton and presented by Laura Murphy-Oates. Produced by Ellen Leabeater and Joe Koning. Executive produced by Miles Martignoni and Gabrielle Jackson
30 years of Australia's hollow promises on climate policy - with Lenore Taylor,https://www.theguardian.com/australia-news/audio/2020/feb/03/30-years-of-australias-hollow-promises-on-climate-policy,"This summer, Scott Morrison has faced international criticism over his climate change policies. But this government is just the latest in a long line that have either failed on meaningful climate policy at home, or blocked stronger climate action on the world stage.In this episode of Full Story, Guardian Australia editor Lenore Taylor explores Australia’s long track record of stalling on climate change action.",2020-02-03,Reported by Lenore Taylor and presented byLaura Murphy-Oates . Produced byEllen Leabeaterand Joe Koning. The executive producers are Miles Martignoniand Gabrielle Jackson.
The birth of Bougainville,https://www.theguardian.com/australia-news/audio/2020/jan/31/the-birth-of-bougainville-the-worlds-newest-country,"Last year the small Pacific island of Bougainville, a self-governed part of Papua New Guinea, held a referendum on whether it should become an independent country. In this episode of Full Story, Leanne Jorari looks at the long and sometimes violent journey to this historic vote, and where to now for Bougainville",2020-01-31,Reported by Leanne Jorari and presented by Laura Murphy-Oates. Produced by Joe Koningand Ellen Leabeater. The executive producers are Miles Martignoniand Gabrielle Jackson
The problem with Silicon Valley lifestyle hacks,https://www.theguardian.com/australia-news/audio/2020/jan/29/the-problem-with-silicon-valley-lifestyle-hacks,"These days Silicon Valley entrepreneurs don’t just make apps, they also spruik diets, expensive health treatments and other ‘biohacks’ such as dopamine fasting and cryotherapy. In this episode of Full Story, senior writer Brigid Delaney considers how much stock we should put in their advice",2020-01-29,"Reported by Brigid Delaney, presenterd by Laura Murphy-Oates. Produced by Jake Morcom and Joe Koning. Executive produced by Miles Martignoni"
"Where are they now? The scandals, controversial laws and legal challenges that rocked 2019",https://www.theguardian.com/australia-news/audio/2020/jan/27/2020-updates-scandals-controversial-legislation-and-legal-challenges,"This episode is an update on some of our biggest stories of last year, including Angus Taylor’s political scandals, the religious freedom bill and the legal battle over robodebt",2020-01-27,"Reported by Lisa Cox, Paul Karp and Luke Henriques-Gomes. Presented by Laura Murphy-Oates. Produced by Jake Morcom and Miles Martignoni."
The sports grants scandal that could bring down a minister,https://www.theguardian.com/australia-news/audio/2020/jan/24/the-sports-grants-scandal-that-could-bring-down-a-minister,Last week the auditor general delivered a scathing report on a government sports grants program. Since then there’s been allegations that millions of dollars were misused for political gain. Today on Full Story – where did the money go? And who will be held accountable for the scandal?,2020-01-24,"Reported by Paul Karp and Christopher Knaus, presented by Laura Murphy-Oates. Produced by Ellen Leabeater and Joe Koning. Executive produced by Miles Martignoni."
Will Australia's wildlife recover from this bushfire season?,https://www.theguardian.com/australia-news/audio/2020/jan/21/will-australias-wildlife-recover-from-this-bushfire-season,Images of burned koalas and native animals fleeing the fire front have been beamed around the world. There are estimates that 1 billion animals have been impacted and experts fear that some plants and animals have been pushed to extinction. So how bad is the damage? And will Australia’s wildlife bounce back?,2020-01-21,"Reported by Graham Readfearn, presented by Laura Murphy-Oates and produced by Joe Koningand Ellen Leabeater. The executive producers are Miles Martignoniand Gabrielle Jackson"
The extraordinary legal battle over 19 protesters,https://www.theguardian.com/australia-news/audio/2020/jan/20/the-extraordinary-legal-battle-over-19-protesters,"The Pacific island nation of Nauru is well-known for its role in Australia’s offshore detention regime. But what’s less well known is Nauru’s treatment of its own citizens. Today on Full Story, how the former president of Nauru and 18 other protesters became embroiled in a four-year legal battle for their freedom",2020-01-20,Reported by Helen Davidson and presented by Laura Murphy-Oates. Produced by Ellen Leabeater and Joe Koning. Executive produced by Miles Martignoni and Gabrielle Jackson
Can Scott Morrison redeem himself after his disastrous summer?,https://www.theguardian.com/australia-news/audio/2020/jan/17/can-scott-morrison-redeem-himself-from-his-disastrous-summer,"In the past few months, Scott Morrison’s popularity as prime minister has plummeted, with multiple polls painting a grim picture. After a holiday to Hawaii, forced handshakes, a cheesy ad and widespread criticism of how he handled the crisis, can he bounce back?",2020-01-17,Reported by Sarah Martin and presented by Laura Murphy-Oates. Produced by Ellen Leabeater and Joe Koning. Executive produced by Miles Martignoni and Gabrielle Jackson
