title,link,description,published,contributors
Newsroom edition: why is Australia more divided than ever?,https://www.theguardian.com/australia-news/audio/2023/nov/16/newsroom-edition-why-is-australia-more-divided-than-ever-full-story-podcast,"A new survey of more than 7,000 Australians has found social cohesion has significantly decreased. According to the report, racial discrimination and prejudice are still stubbornly common, making people of colour, in particular, feel less like they belong.Jane Lee speaks with head of newsroom Mike Ticher and national news editor Patrick Keneally about what is dividing the country and where it is leading us",2023-11-16,Presented by Jane Lee with Mike Ticher and Patrick Keneally. Produced by Miles Herbert and Daniel Semo. The Executive producer is Miles Martignoni
How offshore windfarms became a lightning rod for misinformation,https://www.theguardian.com/australia-news/audio/2023/nov/16/how-offshore-windfarms-became-a-lightning-rod-for-misinformation-full-story-podcast,"A false claim about wind turbines killing whales is spinning out of control in coastal New South Wales – appearing on posters, placards and social media. The Albanese government has earmarked six offshore wind zones across the country but some say genuine community concerns about these developments are being warped online. Laura Murphy-Oates speaks to climate and environment editor Adam Morton about Australia’s plans for offshore windfarms, and why whales are at the centre of the debate.  You can support the Guardian at theguardian.com/fullstorysupport",2023-11-16,"Presented by Laura Murphy-Oates with Adam Morton. Produced by Joe Koning, Karishma Luthria and Daniel Semo who also did the sound design and mixing. Executive producer Hannah Parkes"
How big banks are cashing in on mortgage stress - Full Story podcast,https://www.theguardian.com/australia-news/audio/2023/nov/15/how-the-big-four-are-making-bank-in-a-cost-of-living-crisis-full-story-podcast,"The day after the Reserve Bank of Australia raised interest rates for the thirteenth time, Australia’s major banks started reporting huge profits. And it’s not just banks that are doing well, with some older Australians ‘living large’ at a time when many are struggling to pay their mortgage and their rent. Guardian Australia’s senior business reporter Jonathan Barrett speaks to Jane Lee about the great divide in Australia’s economy  You can subscribe for free to Guardian Australia’s daily news podcast Full Story on Apple Podcast, Spotify and Google podcasts",2023-11-15,Presented by Jane Lee with Jonathan Barrett. Produced by Allison Chan. The sound design and mix is by Daniel Semo. The executive producer is Hannah Parkes.
Inside the Optus crash,https://www.theguardian.com/australia-news/audio/2023/nov/13/inside-the-optus-crash-full-story-podcast,"Nearly half the Australian population were left without internet or phone service on Wednesday when Optus crashed. Coming just over a year after the telecommunications provider was embroiled in the worst cyber breach in Australian history, the company has once again been widely criticised for its response. Laura Murphy-Oates speaks to cyber expert Matt Tett and technology reporter Josh Taylor about what could have caused this outage, and what it means for the reputation of one of Australia’s biggest telecommunications companies  You can support the Guardian at theguardian.com/fullstorysupport",2023-11-13,Presented by Laura Murphy-Oates with Josh Taylor. Produced by Karishma Luthria and Miles Herbert. Sound design and mixing by Miles Martignoni. Theme music by Joe Koning. Executive producer Miles Martignoni.
When Albanese met Xi: inside the diplomatic reset with China,https://www.theguardian.com/australia-news/audio/2023/nov/13/anthony-albanese-xi-jinping-china-trip-full-story-podcast,"Last week Anthony Albanese embarked on the first trip to China by an Australian prime minister since 2016, meeting China’s president, Xi Jinping. This moment signals a diplomatic reset between Australia and China after years of turmoil. Laura Murphy-Oates speaks to Guardian Australia’s political editor Katharine Murphy about her first-hand view of the historic trip and how it serves both Australian and Chinese interests  You can support the Guardian at theguardian.com/fullstorysupport",2023-11-13,Presented by Laura Murphy-Oates  and Katharine Murphy. Produced by Allison Chan and Karishma Luthria. Sound design and mixing by Daniel Semo. Theme music Joe Koning. Executive producers Miles Martignoni and Hannah Parkes
Newsroom edition: why we shouldn’t switch off the news,https://www.theguardian.com/australia-news/audio/2023/nov/10/newsroom-edition-why-we-shouldnt-switch-off-the-news-full-story-podcast,At a time when the news is incredibly grim it can be easy to switch off – but should we? Jane Lee speaks to editor-in-chief Lenore Taylor and national news editor Patrick Keneally about how they tackle news fatigue,2023-11-10,Presented by Jane Lee with Lenore Taylor and Patrick Keneally. Produced by Miles Herbert and Joe Koning. Executive producer is Miles Martignoni
Australia’s stance on a ceasefire in Gaza,https://www.theguardian.com/australia-news/audio/2023/nov/08/australias-stance-on-a-ceasefire-in-gaza-full-story-podcast,"With the death toll rising in Gaza, the Albanese government has repeated its calls for ‘humanitarian pauses on hostilities’ and for Israel to observe the rules of war. However, the Greens and a growing number of protesters nationwide are calling on the government to do more – and demand a ceasefire. Laura Murphy-Oates speaks to Guardian Australia’s political reporter Sarah Basford Canales about the rising dissent over Australia’s stance on a ceasefire, and Scott Morrison’s ‘solidarity’ trip to Israel  You can support the Guardian at theguardian.com/fullstorysupport",2023-11-08,Presented by Laura Murphy-Oates with Sarah Basford Canales. Produced by Karishma Luthria. Sound design and mix by Joe Koning. Executive producer Hannah Parkes
Why the Qantas AGM blew up,https://www.theguardian.com/australia-news/audio/2023/nov/07/why-the-qantas-agm-blew-up-full-story-podcast,"Qantas’ first annual general meeting since Alan Joyce’s departure saw the board confronting tough questions from shareholders who want it to take responsibility for the airline’s declining reputation.  Guardian Australia’s transport and urban affairs reporter, Elias Visontay, tells Jane Lee what happened at the meeting and the many challenges still facing the national airline  You can support the Guardian at theguardian.com/fullstorysupport",2023-11-07,"Presented by Jane Lee with Elias Visontay, Produced by Allison Chan, Joe Koning who also did sound design and mixing, Executive Producer Hannah Parkes"
The legal minefield of exposing cheaters online,https://www.theguardian.com/australia-news/audio/2023/nov/06/the-legal-minefield-of-exposing-cheaters-online-full-story-podcast,Facebook and other social media sites are awash with dedicated groups people can go to to find out about potential dates. Senior reporter Tory Shepherd tells Laura Murphy-Oates about the online groups that are dedicated to exposing behaviour ranging from cheating to violence and abuse  You can support the Guardian at theguardian.com/fullstorysupport,2023-11-06,Presented by Laura Murphy-Oates with Tory Shepherd. Production and sound design by Joe Koning. Executive producer: Hannah Parkes
"Speaker Johnson, Israel, government shutdown and Virginia",https://www.theguardian.com/australia-news/audio/2023/nov/06/speaker-johnson-israel-government-shutdown-and-virginia-full-story-podcast,"The new speaker of the House of Representatives, Mike Johnson of Louisiana, faces the tough task of uniting a fractured Republican party and preventing a quick-approaching government shutdown. Jonathan Freedland and Marianna Sotomayor of the Washington Post discuss what we have learned about his approach to the job from his first week with the gavel. Plus, as we prepare for next week’s off-year elections, Jonathan speaks to Carter Sherman about Virginia – the last remaining southern state without extensive abortion restrictions. They look at why results there could prove pivotal for Republican chances in 2024  You can support the Guardian at theguardian.com/fullstorysupport",2023-11-06,"Introduced by Jane Lee. Presented by Jonathan Freedland, with Marianna Sotomayor and Carter Sherman. Produced by Danielle Stephens. Executive producer Maz Ebtehaj. Additional production by Allison Chan"
Newsroom edition: the growing threat AI poses to journalism,https://www.theguardian.com/australia-news/audio/2023/nov/02/newsroom-edition-the-growing-threat-ai-poses-to-journalism-full-story-podcast,"An AI-generated poll on a third-party platform recently compromised the Guardian’s journalism, angering many readers in the process. As advancements in AI gain speed, many news organisations are already using artificially intelligent tools to write articles and create images. But we know these new methods come with risks and can also be used to spread misinformation.Jane Lee speaks to editor-in-chief Lenore Taylor and national news editor Patrick Keneally about the threat generative AI poses to journalism",2023-11-02,Presented by Jane Lee with Lenore Taylor and Patrick Keneally . Produced by Miles Herbert and Joe Koning . The executive producer is Miles Martignoni
Two presidents in two weeks: Albanese’s balancing act,https://www.theguardian.com/australia-news/audio/2023/nov/02/two-presidents-in-two-weeks-albaneses-balancing-act-full-story-podcast,"In the space of just two weeks, the Australian prime minister, Anthony Albanese, will have met with two of the world’s most powerful leaders – US president Joe Biden and China’s president, Xi Jinping. And central to both meetings will be the Aukus deal: a historic defence agreement between the US, Australia and the UK designed to counter China’s military rise in the Pacific. Foreign affairs and defence correspondent Daniel Hurst speaks to Jane Lee about how the deal could affect Australia’s relationship with its biggest defence ally, the US, and its largest trading partner, China.  You can support the Guardian at theguardian.com/fullstorysupport",2023-11-02,Presented by Jane Lee with Daniel Hurst. Produced by Karishma Luthria with sound design and mix by Joe Koning. The executive producer is Hannah Parkes
‘We’re totally isolated’: inside Gaza as Israel’s war intensifies,https://www.theguardian.com/australia-news/audio/2023/oct/31/were-totally-isolated-inside-gaza-as-israels-war-intensifies-full-story-podcast,"As Israel steps up its military campaign in Gaza, residents trapped in the territory are facing a humanitarian crisis  You can support the Guardian at theguardian.com/fullstorysupport",2023-10-31,"Presented by Michael Safi with Hazem Balousha and Bethan McKernan. Produced by Ned Carter Miles, George McDonagh and Rudi Zygadlo. Executive producer Phil Maynard"
Greg Jericho: a ‘silly’ rate rise won’t solve inflation,https://www.theguardian.com/australia-news/audio/2023/oct/31/greg-jericho-a-silly-rate-rise-wont-solve-inflation-full-story-podcast,All four big banks are predicting the Reserve Bank will raise interest rates next week. Guardian columnist Greg Jericho tells Jane Lee why a rate hike would increase the pain on households for little gain  You can support the Guardian at theguardian.com/fullstorysupport,2023-10-31,Hosted by Jane Lee with Greg Jericho. Produced by Allison Chan and Joe Koning who also did the sound design and mix. Executive producers  Hannah Parkes and Miles Martignoni
Bruce Lehrmann revealed as the ‘high-profile’ man charged with rape,https://www.theguardian.com/australia-news/audio/2023/oct/30/bruce-lehrmann-revealed-as-the-high-profile-man-charged-with-full-story-podcast,Bruce Lehrmann has been revealed as the ‘high-profile’ man accused of raping a woman in Toowoomba two years ago - a charge that he denies. The former Liberal staffer can now be named in the case after his lawyers lost a legal bid to maintain his anonymity. Reporter Joe Hinchliffe speaks to Laura Murphy-Oates about what to expect as the case proceeds  You can support the Guardian at theguardian.com/fullstorysupport,2023-10-30,"Hosted by Laura Murphy-Oates with Joe Hinchliffe. Produced by Karishma Luthria and Joe Koning, who also did the sound design and mix. The executive producer is Hannah Parkes"
Newsroom edition: Australia’s response to the Israel-Hamas war,https://www.theguardian.com/australia-news/audio/2023/oct/27/newsroom-edition-australias-response-to-the-israel-hamas-war-full-story-podcast,"The sun has set on day 20 of the conflict between Israel and Hamas. The war began on 7 October when Hamas gunmen poured across the border, killing 1,400 people, mostly civilians, and kidnapping 222 others. Since then, the Gaza health ministry, run by Hamas, says Israeli airstrikes have killed more than 6,500 Palestinians, including more than 2,000 children.Anthony Albanese, in a joint press conference with US president Joe Biden, this week announced an additional $15m in humanitarian aid for Palestinian civilians, taking the total aid from Australia to $25m.Gabrielle Jackson speaks to political editor Katharine Murphy and national news editor Patrick Keneally about what Australians need to know about the government’s position on the Israel-Hamas conflict",2023-10-27,Presented by Gabrielle Jackson with Katharine Murphy and Patrick Keneally . Produced by Miles Herbert and Daniel Semo
Firebombs and threats in the tobacco store turf war - Full Story podcast,https://www.theguardian.com/australia-news/audio/2023/oct/25/firebombs-and-threats-in-the-tobacco-store-turf-war-full-story-podcast,Almost 30 tobacco stores in suburban Melbourne and regional Victoria have been set alight in the last seven months. Guardian Australia justice and courts reporter Nino Bucci explains how organised crime syndicates are infiltrating Australia’s tobacco industry,2023-10-25,Presented by Jane Lee with Nino Bucci. Produced by James Milsom Karishma Luthria and Daniel Semo who also did the sound design and mix. Executive producer Hannah Parkes
How a contested history feeds the Israel-Palestine conflict,https://www.theguardian.com/australia-news/audio/2023/oct/24/how-a-contested-history-feeds-the-israel-palestine-conflict-full-story-podcast,"Certain dates are seared into the minds of those who have tried to untangle the decades-long Israel-Palestine conflict, be it 1917, 1947, 1967, 1973 – and now 2023. Chris McGreal reports on an escalating war that is only understandable by looking to the past",2023-10-24,"Presented by Nosheen Iqbal with Chris McGreal. Produced by Tom Glasser, Lucy Hough and Solomon King. Executive producer Homa Khaleeli"
Katharine Murphy on Peter Dutton’s polarising plan to win elections,https://www.theguardian.com/australia-news/audio/2023/oct/24/peter-duttons-post-referendum-plan-to-win-back-australia-full-story-podcast,"After spearheading a divisive campaign during the referendum, opposition leader Peter Dutton has moved on to new battlegroundsLaura Murphy-Oates speaks to political editor Katharine Murphy on the next chapter in Dutton’s playbook, and what it means for the temperature of Australian political debate",2023-10-24,Laura Murphy-Oates with Katharine Murphy. Produced by Karishma Luthria and Daniel Semo who also did the sound design and mix. Executive producer is Hannah Parkes
Is overusing antibiotics sending us back to the ‘dark ages’ of health?,https://www.theguardian.com/australia-news/audio/2023/oct/23/can-we-win-the-fight-against-superbugs-full-story-podcast,"In Australia, about 1,000 people die of superbug infections every year.These diseases – which can’t be cured with antibiotics or other antimicrobial medications – are on the rise, with the World Health Organisation warning antimicrobial resistance could be responsible for 10 million deaths a year by 2050.In this special live recording of a panel discussion at SXSW Sydney, Jane Lee speaks to Guardian Australia’s health reporter Natasha May, physician and microbiologist Prof Jonathan Iredell and Prof Garry Myers about this looming global health crisis and the fight to protect the world from superbugs",2023-10-23,"Presented by Jane Lee with Natasha May, Jonathon Iredell and Garry Meyers. Produced by Mell Chun  and Joe Koning who did the sound design and mixing. Executive Producer Hannah Parkes"
