Title,Url,Standfirst,Date
"US election 2020: Joe Biden's and Donald Trump's possible paths to powerLauren Gambino, political correspondent for Guardian US, discusses which states Democratic nominee Joe Biden will need to win to take the White House, and what Donald Trump will need to do to retain the presidencyPodcast28:17",https://www.theguardian.com/australia-news/audio/2020/oct/23/us-election-2020-joe-bidens-and-donald-trumps-possible-paths-to-power,"Lauren Gambino, political correspondent for Guardian US, discusses which states Democratic nominee Joe Biden will need to win to take the White House, and what Donald Trump will need to do to retain the presidency",2020-10-23
Could Jacinda Ardern's 'politics of kindness' work in other countries?Eleanor Ainge Roy looks at what makes New Zealand’s prime minister so popular and considers what other countries can learn from her polite style of politicsPodcast34:26,https://www.theguardian.com/australia-news/audio/2020/oct/22/could-jacinda-arderns-politics-of-kindness-work-in-other-countries,Eleanor Ainge Roy looks at what makes New Zealand’s prime minister so popular and considers what other countries can learn from her polite style of politics,2020-10-22
"The Wait part 1: a paradox and a dilemmaMozhgan Moarefizadeh is stuck in Jakarta. With journalist Nicole Curby she brings you into the lives of refugees like her, trapped on Australia’s new borderline in IndonesiaPodcast37:45",https://www.theguardian.com/australia-news/audio/2020/oct/21/the-wait-part-1-a-paradox-and-a-dilemma,"Mozhgan Moarefizadeh is stuck in Jakarta. With journalist Nicole Curby she brings you into the lives of refugees like her, trapped on Australia’s new borderline in Indonesia",2020-10-21
"The wait: Indonesia's refugees describe life stuck in an interminable limboAustralia’s border policies continue to be felt in a country where almost 14,000 refugees and asylum seekers endure a ‘painful, hopeful wait’ to be resettled21 Oct 2020 03.30 AEDT",https://www.theguardian.com/australia-news/2020/oct/21/the-wait-indonesias-refugees-describe-life-stuck-in-an-interminable-limbo,"Australia’s border policies continue to be felt in a country where almost 14,000 refugees and asylum seekers endure a ‘painful, hopeful wait’ to be resettled",2020-10-21
"The Wait part 2: we say it's chanceMozhgan takes Nicole to visit Hussein in West Jakarta, where he lives with his dad in a small room. How has Australia shaped their lives, even though they never got there?Podcast32:46",https://www.theguardian.com/australia-news/audio/2020/oct/21/the-wait-part-2-we-say-its-chance,"Mozhgan takes Nicole to visit Hussein in West Jakarta, where he lives with his dad in a small room. How has Australia shaped their lives, even though they never got there?",2020-10-21
Does Sweden have the answer to living with Covid-19?The country has managed to avoid enforced lockdowns but what did it do differently? And could its methods be adapted for elsewhere?Podcast28:56,https://www.theguardian.com/australia-news/audio/2020/oct/20/does-sweden-have-the-answer-to-living-with-covid-19,The country has managed to avoid enforced lockdowns but what did it do differently? And could its methods be adapted for elsewhere?,2020-10-20
What's life like on the jobseeker rollercoaster of 2020?Luke Henriques-Gomes reports on how people are coping amid changes in jobseeker and a lack of clarity over the rate of payment Podcast24:33,https://www.theguardian.com/australia-news/audio/2020/oct/19/whats-life-like-on-the-jobseeker-rollercoaster-of-2020,Luke Henriques-Gomes reports on how people are coping amid changes in jobseeker and a lack of clarity over the rate of payment ,2020-10-19
"What if Donald Trump refuses to concede the US election?Trump has repeatedly stated that he may refuse to accept defeat in the coming election. As Lawrence Douglas explains on the Full Story podcast, things could get very messy if the result is closePodcast31:47",https://www.theguardian.com/australia-news/audio/2020/oct/16/what-if-donald-trump-refuses-to-concede-the-us-election,"Trump has repeatedly stated that he may refuse to accept defeat in the coming election. As Lawrence Douglas explains on the Full Story podcast, things could get very messy if the result is close",2020-10-16
Killing Time with Jimmy Barnes: 'Most people should do therapy'The rocker discusses open heart surgery and how he slowed down to find beauty in calmPodcast29:42,https://www.theguardian.com/australia-news/audio/2020/oct/15/killing-time-with-jimmy-barnes-most-people-should-do-therapy,The rocker discusses open heart surgery and how he slowed down to find beauty in calm,2020-10-15
"Who is US supreme court nominee, Amy Coney Barrett?Anushka Asthana talks to Stephanie Kirchgaessner about Amy Coney Barratt’s career and personal life, and what her appointment would mean for the USPodcast30:16",https://www.theguardian.com/australia-news/audio/2020/oct/14/who-is-us-supreme-court-nominee-amy-coney-barrett,"Anushka Asthana talks to Stephanie Kirchgaessner about Amy Coney Barratt’s career and personal life, and what her appointment would mean for the US",2020-10-14
Will Icac bring down another NSW premier?Explosive revelations that NSW premier Gladys Berejiklian maintained a “close personal relationship” with disgraced former NSW Liberal MP Daryl Maguire threatens to end her political career. How much did she know about Maguire’s alleged activities?Podcast24:31,https://www.theguardian.com/australia-news/audio/2020/oct/13/will-icac-bring-down-another-nsw-premier,Explosive revelations that NSW premier Gladys Berejiklian maintained a “close personal relationship” with disgraced former NSW Liberal MP Daryl Maguire threatens to end her political career. How much did she know about Maguire’s alleged activities?,2020-10-13
The budget that forgot womenGabrielle Jackson talks to Emma Dawson about why the 2020 budget falls short on measures to address women’s economic securityPodcast27:48,https://www.theguardian.com/australia-news/audio/2020/oct/12/the-budget-that-forgotten-women,Gabrielle Jackson talks to Emma Dawson about why the 2020 budget falls short on measures to address women’s economic security,2020-10-12
"The Matildas: carrying the nation's hope for footballThe Matildas are one of Australia’s most loved and successful national sports teams. But their success has come despite a historic lack of support, not because of it. Samantha Lewis reports on the appointment of a new coach and the expectations of a team dubbed the ‘golden generation’Podcast30:31",https://www.theguardian.com/australia-news/audio/2020/oct/09/the-matildas-carrying-the-nations-hope-for-football,"The Matildas are one of Australia’s most loved and successful national sports teams. But their success has come despite a historic lack of support, not because of it. Samantha Lewis reports on the appointment of a new coach and the expectations of a team dubbed the ‘golden generation’",2020-10-09
US election 2020: how Covid-19 reached the White HouseDonald Trump spent the weekend in hospital after developing symptoms following a positive test for coronavirusPodcast33:04,https://www.theguardian.com/australia-news/audio/2020/oct/08/us-election-2020-how-covid-19-reached-the-white-house,Donald Trump spent the weekend in hospital after developing symptoms following a positive test for coronavirus,2020-10-08
Australian budget 2020: a V-shaped recovery or a missed opportunity?Podcast39:57,https://www.theguardian.com/australia-news/audio/2020/oct/06/australian-budget-2020-a-v-shaped-recovery-or-a-missed-opportunity,,2020-10-06
"Why Australia loves magpies, even in swooping seasonPodcast18:49",https://www.theguardian.com/australia-news/audio/2020/oct/06/why-australia-loves-magpies-even-in-swooping-season,,2020-10-06
"US election 2020: an ugly fight in the critical swing state of FloridaOliver Laughland, the Guardian’s US southern bureau chief, discusses his recent road trip around Florida, a key state that Trump only narrowly won in 2016. He found two sides bitterly opposedPodcast26:59",https://www.theguardian.com/australia-news/audio/2020/oct/05/us-election-2020-an-ugly-fight-in-the-critical-swing-state-of-florida,"Oliver Laughland, the Guardian’s US southern bureau chief, discusses his recent road trip around Florida, a key state that Trump only narrowly won in 2016. He found two sides bitterly opposed",2020-10-05
"Can Covid-19 change how Australians value the great outdoors?In the wake of tough Covid-19 restrictions, Josephine Tovey looks at how governments can make public spaces safely accessible for everyone Podcast20:31",https://www.theguardian.com/australia-news/audio/2020/oct/02/can-covid-19-change-how-australians-value-the-great-outdoors,"In the wake of tough Covid-19 restrictions, Josephine Tovey looks at how governments can make public spaces safely accessible for everyone ",2020-10-02
"How QAnon spread to Australia and spilled out into real lifeIn the second of a two-part episode on QAnon, we look at how the baseless internet conspiracy theory spread to Australia, embroiling a Nationals MPPodcast33:36",https://www.theguardian.com/australia-news/audio/2020/oct/01/how-qanon-spread-to-australia-and-spilled-out-into-real-life,"In the second of a two-part episode on QAnon, we look at how the baseless internet conspiracy theory spread to Australia, embroiling a Nationals MP",2020-10-01
Full Story special: did anyone win the first US presidential debate?It was tipped to be an explosive event and it didn’t disappoint. Jonathan Freedland and Richard Wolffe discuss the highlights and lowlights of the first presidential election debatePodcast24:17,https://www.theguardian.com/australia-news/audio/2020/sep/30/full-story-special-did-anyone-win-the-first-us-presidential-debate,It was tipped to be an explosive event and it didn’t disappoint. Jonathan Freedland and Richard Wolffe discuss the highlights and lowlights of the first presidential election debate,2020-09-30
