title,link,description,published,contributors
The new reforms turning the tide for child abuse survivors,https://www.theguardian.com/australia-news/audio/2022/sep/20/the-new-reforms-turning-the-tide-for-child-abuse-survivors,"For years, many victims and survivors of child sexual abuse were given pitiful amounts of compensation from the institutions responsible, subject to gag orders and unable to take further legal action. But new laws across the country are removing these barriers to justice and allowing some to claim greater amounts of compensation, in what is being hailed as a “watershed moment”.Reporter Christopher Knaus tells Jane Lee how these new laws are levelling the playing field for survivors of child sexual abuse",2022-09-20,"Presented by Jane Lee, reported by Christopher Knaus. Produced by Karishma Luthria, Jane Lee and Joe Koning, who also did the sound design and mixing. Executive producers Miles Martignoni, Gabrielle Jackson, Molly Glassey and Laura Murphy-Oates"
Can Qantas return to its former glory?,https://www.theguardian.com/australia-news/audio/2022/sep/19/can-qantas-return-to-its-former-glory,"Many Australians have lost faith in Qantas after months of lost luggage, cancelled flights and slashed operational costs. While the pandemic exacerbated most of these issues, some of the airline’s turbulence started much earlier.Reporter Ben Butler speaks to Laura Murphy-Oates about how the chaos at Qantas unfolded and whether Australia’s national carrier can return to its former glory",2022-09-19,"Presented by Laura Murphy-Oates, reported by Ben Butler. Produced by  Jordyn Beazley and Karishma Luthria. Sound design and mixing by Joe Koning. Executive producers of Full Story areMolly Glassey, Gabrielle Jackson, Miles Martignoni and Laura Murphy-Oates"
Is Russia on the retreat in Ukraine?,https://www.theguardian.com/australia-news/audio/2022/sep/16/is-russia-on-the-retreat-in-ukraine,"Ukrainian forces have launched a devastating counteroffensive in the past week, retaking Russian-held territory. Dan Sabbagh and Shaun Walker explain what it means for the war as the countries head into winter",2022-09-16,"Presented by  Michael Safi  with  Dan Sabbagh  and  Shaun Walker ; produced by  Tom Glasser , Hareem Khan and  Axel Kacoutié ; executive producer Phil Maynard"
What a third La Niña means for summer,https://www.theguardian.com/australia-news/audio/2022/sep/15/what-a-third-la-nina-means-for-summer,"The Bureau of Meteorology has declared a third La Niña is officially under way, enhancing the risk of above-average rainfall and floods in the months ahead.Environment reporter Graham Readfearn explains why we’re seeing this rare ‘triple dip’ La Niña, and what it means for weather patterns in Australia and across the world",2022-09-15,"Presented by Laura Murphy-Oates, reported by Graham Readfearn. Produced by Karishma Luthria. Sound design and mixing by Joe Koning. Executive producers Miles Martignoni, Gabrielle Jackson, Molly Glassey and Laura Murphy-Oates."
Can King Charles reinvent himself and the monarchy?,https://www.theguardian.com/australia-news/audio/2022/sep/14/can-king-charles-reinvent-himself-and-the-monarchy,"King Charles III comes to the throne with a nation in political flux and economic turmoil. Robert Booth looks at the challenges the new monarch faces  Get our free news app, morning email briefing or daily news podcast",2022-09-14,Presented by Michael Safi with Robert Booth Booth; produced by Clizia Sala and Rudi Zygadlo ; executive producer Phil Maynard
Is Australia taking skilled migrants for granted?,https://www.theguardian.com/australia-news/audio/2022/sep/13/is-australia-taking-skilled-migrants-for-granted,"Australia will accept 35,000 more permanent migrants a year to try to fill skills shortages in industries like engineering, health and agriculture. But are we doing enough to attract and retain the people we need in the global war for talent? Economist Gabriela D’Souza and skilled migrant Benine Muriithi speak with Jane Lee about how migrants view Australia",2022-09-13,"Presented by Jane Lee. Produced by Karishma Luthria and Jane Lee. Sound design and mixing by Daniel Semo. Executive producers Miles Martignoni, Gabrielle Jackson, Molly Glassey and Laura Murphy-Oates"
Photoshop and unfeasible prices: how real estate agents sell houses,https://www.theguardian.com/australia-news/audio/2022/sep/12/photoshopping-and-false-prices-how-real-estate-agents-sell-houses,Many potential homebuyers have told Guardian Australia that advertisements for their dream homes – from the photos to the price – have been inaccurate and real estate bodies are sounding the alarm about an industry they say is poorly regulated.Reporter Caitlin Cassidy speaks to Laura Murphy-Oates about the tactics real estate agents use to sell homes – tactics some have described as a ‘fraud on purchasers’,2022-09-12,"Presented by Laura Murphy-Oates, reported by Caitlin Cassidy. Produced by Joe Koning, and executive produced by Miles Martignoni"
The life of Queen Elizabeth II,https://www.theguardian.com/australia-news/audio/2022/sep/09/the-life-of-queen-elizabeth-ii,"The Queen has died aged 96 at her Scottish home of Balmoral. She was not only the oldest sovereign in Britain’s history but also its longest-serving. In this special episode of Full Story, we look back at her life and how Australians are reacting to the news of her death",2022-09-09,"Presented by Laura Murphy-Oates and Nosheen Iqbal. Produced by Joshua Kelly, Karishma Luthria and Axel Kacoutié. The executive producer of Today in Focus is Phil Maynard and the executive producer of Full Story is Miles Martignoni"
"Interest rates keep rising, who is feeling the pinch?",https://www.theguardian.com/australia-news/audio/2022/sep/09/interest-rates-keep-rising-who-is-feeling-the-pinch,"The Reserve Bank has raised interest rates for five months in a row, in its most aggressive move since 1994. In the middle of a cost of living crisis, many Australians are struggling. Real wages have fallen, household savings are dwindling, and now home owners are feeling the crunch as their mortgage payments skyrocket.In this episode of Full Story, Gabrielle Jackson talks to Patrick Keneally and Bonnie Malkin about what central banks and governments can do to battle inflation, and ease cost of living pressures",2022-09-09,Presented by Gabrielle Jackson with Bonnie Malkin and Patrick Keneally . Produced by Miles Herbert and Daniel Semo . Executive produced by Gabrielle Jackson and Miles Martignoni
The human cost of Pakistan’s devastating floods,https://www.theguardian.com/australia-news/audio/2022/sep/08/the-human-cost-of-pakistans-devastating-floods,"More than 1,200 people have died in the floods in Pakistan. The disaster has left around a third of the country under water",2022-09-08,Presented by Nosheen Iqbal with Shah Meer Baloch; produced by Sarah Lawrynuik and Solomon King; executive producers Elizabeth Cassin and Phil Maynard
