title,link,description,published,contributors
Newsroom edition: where does the EV high court case leave Labor’s strategy?,https://www.theguardian.com/australia-news/audio/2023/oct/20/newsroom-edition-where-does-the-ev-high-court-case-leave-labors-strategy-full-story-podcast,"Two electric car enthusiasts have taken the government to court and won. They were fighting a controversial Victorian tax which charged EV owners for every kilometre they drove, claiming it needlessly made the transition to greener, lower emissions vehicles harder. The landmark decision comes as Labor continues to stall on their highly anticipated and widely supported fuel efficiency standard which will create a cap for car emissions.Gabrielle Jackson speaks to Guardian Australia editor-in-chief Lenore Taylor and head of newsroom Mike Ticher about what this court decision means for electric vehicle take-up in Australia and if it will kick Labor into action on transport emissions",2023-10-20,Presented by Gabrielle Jackson with Lenore Taylor and Mike Ticher. Produced by Miles Herbert and Daniel Semo. The executive producer is Gabrielle Jackson
The deadly consequences of a ground invasion of Gaza,https://www.theguardian.com/australia-news/audio/2023/oct/19/the-deadly-consequences-of-a-ground-invasion-of-gaza-full-story-podcast,"With growing expectations that Israel will soon launch a ground assault on the besieged 365km2 strip of land, fears have been mounting about what it could mean for the trapped civilians.The Guardian’s senior international reporter, Peter Beaumont, explains what Israel would want to achieve with the ground invasion – and the obstacles they face",2023-10-19,Presented by Nosheen Iqbal with Peter Beaumont produced by Courtney Yusuf Alex Atack and Tom Glasser Executive producer Homa Khaleeli
How to continue the fight for Indigenous rights,https://www.theguardian.com/australia-news/audio/2023/oct/18/how-to-continue-supporting-indigenous-rights-after-the-referendum,"In the wake of the referendum’s defeat, politicians and campaigners have vowed to keep fighting for Indigenous rights. But after years of campaigning for a voice to parliament and mobilising supporters around this idea, many are wondering: what is the path forwards from here?Laura Murphy-Oates speaks to Widjabul Wia-bal woman Larissa Baldwin-Roberts, chief executive of the progressive political organisation GetUp, about the agenda for Black justice after the referendum and how Australians can continue to support First Nations people",2023-10-18,Hosted by Laura Murphy-Oates. Produced by Phoebe McIlwraith and Karishma Luthria. Sound designed by Daniel Semo. The executive producer is Hannah Parkes
New Zealand’s shift to the right,https://www.theguardian.com/australia-news/audio/2023/oct/17/new-zealands-shift-to-the-right-full-story-podcast,"New Zealand has delivered a forceful rejection of its Labour government which swept the last election under Jacinda Ardern.Former businessman and leader of the centre-right National party Christopher Luxon will now lead the country, and has promised to bring down the cost of living and restore law and order as he considers the shape of his coalition government.Wellington-based journalist Eva Corlett speaks to Jane Lee on why so many voted for change and what this shift to the right means for New Zealand",2023-10-17,Presented by Jane Lee with Eva Corlett. Produced by Joe Koning with sound design and mixing by Daniel Semo. The executive producer is Hannah Parkes
How an Australian play is changing sexual assault trials,https://www.theguardian.com/australia-news/audio/2023/oct/16/how-an-australian-play-is-changing-sexual-assault-trials-full-story-podcast,"Australian playwright Suzie Miller has been lauded internationally for her one-woman play Prima Facie, which highlights how sexual assault survivors are unfairly treated by the courts. As she launches her novel of the same name, the former criminal defence lawyer reflects with Jane Lee on how this story is changing the way trials are conducted in the UK and what further reforms are needed closer to home",2023-10-16,Presented by Jane Lee produced by Daniel Semowho also did the sound design and mix. Executive producer Hannah Parkes
"Trump, an Australian billionaire and the nuclear submarines",https://www.theguardian.com/australia-news/audio/2023/oct/16/trump-an-australian-billionaire-and-the-nuclear-submarines-full-story-podcast,"Donald Trump allegedly discussed potentially sensitive information about US nuclear submarines with an Australian billionaire three months after leaving office, according to an American media report. These allegations, which Trump denies, have raised further questions about his alleged handling of classified information – already the subject of separate and unrelated criminal charges in the US.Guardian Australia’s foreign affairs and defence correspondent, Daniel Hurst, discusses why an Australian businessman and multiple former prime ministers are facing questions over this story and how these allegations could affect future Australia-US relations",2023-10-16,Presented by Laura Murphy-Oates with Daniel Hurst. Produced by Karishma Luthria. Sound design and mix by Daniel Semo. The executive producer is Hannah Parkes
What ‘no’ means for Australia,https://www.theguardian.com/australia-news/audio/2023/oct/15/what-no-means-for-australia-full-story-podcast,"In the wake of Australia voting no to an Indigenous voice to parliament, the key voice architect Prof Marcia Langton said ‘reconciliation is dead’. Anthony Albanese disagreed, saying ‘tonight is not the end of the road’ as he called for ‘optimism’.Laura Murphy-Oates speaks to Guardian Australia’s editor-in-chief Lenore Taylor, Indigenous affairs editor Lorena Allam and political editor Katharine Murphy about what the no vote means for Australia and for the fight for Indigenous rights",2023-10-15,"Presented by Laura Murphy-Oates. Produced by Karishma Luthria and Camilla Hannan, who also did sound design and mixing. Executive producer is Molly Glassey"
Human catastrophe unfolds in Israel and Gaza,https://www.theguardian.com/australia-news/audio/2023/oct/12/human-catastrophe-unfolds-in-israel-and-gaza-full-story-podcast,A deadly assault by Hamas militants across southern Israel has been followed by devastating airstrikes on Gaza Strip and threats of a full-scale invasion by the Israeli military. Bethan McKernan reports,2023-10-12,"Presented by Michael Safi with Bethan McKernan ; produced by Hannah Moore, Natalie Ktena, Rose de Larrabeiti and Solomon King. Executive producer: Elizabeth Cassin"
Amy Remeikis factchecks misinformation about the voice,https://www.theguardian.com/australia-news/audio/2023/oct/12/amy-remeikis-factchecks-misinformation-about-the-voice-full-story-podcast,"Misinformation and fear about the Indigenous voice to parliament are spreading like wildfire. In the first referendum to be held in the age of social media, it’s never been more important – and more difficult – to sort fact from fiction.With just days to go before voting day, Guardian Australia political reporter Amy Remeikis factchecks pervasive misinformation of the campaign",2023-10-12,"Presented by Jane Lee with Amy Remeikis. Produced by Phoebe McIlwraith and Karishma Luthria. Sound design, mixing by Joe Koning. The Executive producer is Hannah Parkes"
How the Israel-Hamas conflict erupted,https://www.theguardian.com/australia-news/audio/2023/oct/10/how-the-israel-hamas-conflict-erupted-full-story-podcast,"A bloody attack by Hamas has shocked the world – and left Israel reeling. As the country responds with devastating airstrikes, Peter Beaumont explains how the surprise attack unfolded and what could happen next",2023-10-10,"Presented by Michael Safi with Peter Beaumont. Produced by Natalie Ktena, Tom Glasser and Rudi Zygadlo. Executive producers Phil Maynard and Homa Khaleeli"
