title,link,description,published,contributors
Newsroom edition: the risks for Australia in backing US military action,https://www.theguardian.com/australia-news/audio/2025/jun/27/newsroom-edition-the-risks-for-australia-in-backing-us-military-action-full-story-podcast,"Anthony Albanese and the foreign affairs minister, Penny Wong, have endorsed the US bombings of three Iranian nuclear facilities, arguing the targeted strikes were necessary to prevent the regime developing a nuclear weapon. International law experts condemned the attacks as unlawful under the UN charter. Nour Haydar is joined by the editor, Lenore Taylor, and deputy editor Patrick Keneally to discuss Australia’s entangled relationship with the United States",2025-06-27,"Presented by Nour Haydar, with Lenore Taylor and Patrick Keneally. Produced by Miles Herbert and Ima Caldwell. Sound design and mixing by Miles Martignoni"
Antoinette Lattouf wins against the ABC,https://www.theguardian.com/australia-news/audio/2025/jun/25/antoinette-lattouf-wins-against-the-abc-full-story-podcast,"What started as five casual radio presenter shifts has turned into one of the most closely watched court battles in Australian media. In 2023, Antoinette Lattouf was removed as a fill-in host of an ABC radio program after she shared a Human Rights Watch post on the Israel-Gaza conflict on her social media that stated Israel had used starvation as a ‘weapon of war’.Lattouf sued the national broadcaster for wrongful termination and – after a costly legal fight – a verdict has finally been delivered. Media correspondent Amanda Meade and senior reporter Kate Lyons tell Matilda Boseley what this verdict means for Lattouf, the ABC and the Australian media",2025-06-25,"Presented by Matilda Boseley with Amanda Meade and Kate Lyons. Produced by Karishma Luthria, Allison Chan, Joe Koning and Ima Caldwell. Sound design and mix by Camilla Hannan. The executive producer of Full Story is Hannah Parkes"
Can you trust your sunscreen? - Full Story podcast,https://www.theguardian.com/australia-news/audio/2025/jun/24/can-you-trust-your-sunscreen-full-story-podcast,"An investigation by consumer group Choice has found that several leading Australian sunscreens don’t provide the level of protection they say they do. The findings, which have been disputed by manufacturers, have raised questions about the testing and regulations of sunscreens in Australia.Consumer affairs reporter Catie Mcleod tells Nour Haydar why questions are being asked about the claims made by some brands and what consumers need to know now",2025-06-24,"Presented by Nour Haydar with Catie McLeod. Produced by Allison Chan, Karishma Luthria and Camilla Hannan who also did the sound design and mix. The executive producer of Full Story is Hannah Parkes"
US strikes Iran: the breakdown of the rules-based order,https://www.theguardian.com/australia-news/audio/2025/jun/23/us-strikes-iran-the-breakdown-of-the-rules-based-order-full-story-podcast,"Just over a week ago, Iranian and American officials were set to meet for a fresh round of negotiations over Tehran’s nuclear program.Now the region is on the brink after the US joined Israeli attacks on Iran, striking three key uranium enrichment sites.And Iran has vowed to retaliate.Professor Ben Saul, the Challis chair of international law at the University of Sydney, tells Nour Haydar why he thinks the weekend’s events signal the breakdown of the rules-based order",2025-06-23,Presented by Nour Haydar with Ben Saul; produced by Karishma Luthria and Joe Koning who also did the sound design and mix. Executive producer is Hannah Parkes
Mushroom trial comes to a close,https://www.theguardian.com/australia-news/audio/2025/jun/23/mushroom-murders-trial-comes-to-a-close-full-story-podcast,"The mushroom trial that intrigued the world is drawing to a close after weeks of evidence – including testimony from the accused Erin Patterson. Now the defence and prosecution have set out their closing arguments. Patterson has pleaded not guilty to three counts of murder and one of attempted murder, for allegedly and deliberately serving four lunchtime guests beef wellingtons laced with death cap mushrooms at her home in regional Victoria. Reged Ahmad speaks to courts and justice reporter Nino Bucci about each side’s closing arguments as the jury prepares for deliberations   You can support the Guardian at theguardian.com/fullstorysupport",2025-06-23,"Presented by Reged Ahmad with Nino Bucci. Produced by Allison Chan, Ima Caldwell and Joe Koning, who also did sound design and mix. The executive producer of Full Story is Hannah Parkes"
Back to Back Barries: Albanese and the world waits on Trump,https://www.theguardian.com/australia-news/audio/2025/jun/21/back-to-back-barries-albanese-and-the-world-waits-on-trump,"As the US president deliberates on whether or not to launch strikes on Iran, Barrie Cassidy and Tony Barry discuss the global effort to de-escalate the conflict in the Middle East and what it all means for Australian politics.Also in this episode: Could Jim Chalmers be the next prime minister?",2025-06-21,Presented by Barrie Cassidy and Tony Barry; produced by Camilla Hannan; Executive producer is Hannah Parkes
Newsroom edition: the consequences of the Israel-Iran war,https://www.theguardian.com/australia-news/audio/2025/jun/19/newsroom-edition-the-consequences-of-the-israel-iran-war-full-story-podcast-ntwnfb,"The world is hanging on to Donald Trump’s every word, waiting to see if or how the US will intervene in the Israel-Iran conflict. While Australia’s foreign affairs minister, Penny Wong, warns of risks to global stability and urges dialogue, questions remain about the appetite for diplomacy.Bridie Jabour speaks to Guardian Australia’s international editor, Bonnie Malkin, and deputy editor Patrick Keneally about how the Israel-Iran war erupted and what could happen next",2025-06-19,Presented by Bridie Jabour with Bonnie Malkin and Patrick Keneally. Produced by Karishma Luthria with sound design and mixing by Joe Koning. Additional production by Camilla Hannan.
The Air India crash and the miracle of seat 11A–Full Story Podcast,https://www.theguardian.com/australia-news/audio/2025/jun/18/the-air-india-crash-and-the-miracle-of-seat-11afull-story-podcast,"Aviation journalist Jeff Wise on the crash of flight AI171, in which at least 270 people died, and how one passenger in seat 11A managed to survive",2025-06-18,"Presented by Helen Pidd with Jeff Wise; produced by Ivor Manley, Olivia Lee and Joel Cox; executive producer Sami Kent"
Trump cancels on Australia at the G7,https://www.theguardian.com/australia-news/audio/2025/jun/17/trump-cancels-on-australia-at-the-g7-full-story-podcast,"Anthony Albanese had hoped to meet Donald Trump in person for the first time at the G7 summit in Calgary, Canada.But now that meeting will no longer take place – as the US president cut short his time at the conference, returning to Washington amid escalating conflict in the Middle East.Tom McIlroy tells Nour Haydar what this means for Australia’s relationship with one of its strongest allies, the future of the controversial Aukus deal and whether  Albanese will get another meeting with Trump",2025-06-17,Presented by Nour Haydar with Tom McIlroy; produced by Camilla Hannan and Ima Caldwell; sound design by Joe Koning; executive producer is Hannah Parkes
Israel’s war with Iran: what does it want?,https://www.theguardian.com/australia-news/audio/2025/jun/17/israels-war-with-iran-what-does-it-want-full-story-podcast,"It has been five days since Israel launched attacks on Iran and the war seems to be escalating. The civilian death toll is rising and Israeli forces have issued an evacuation order for parts of Tehran. Meanwhile, Iran has managed to evade Israel’s defences with missiles. The Guardian’s senior international correspondent, Julian Borger, explains to Michael Safi that Israel’s war aims seem to have changed   You can support the Guardian at theguardian.com/fullstorysupport",2025-06-17,"Presented by Michael Safi with Julian Borger, produced by Eleanor Biggs, Lucy Hough, Olivia Lee and Chantal Romain."
