title,link,description,published,contributors
The Covid fines that should never have been issued,https://www.theguardian.com/australia-news/audio/2022/jul/27/the-covid-fines-that-should-never-have-been-issued,"Thousands of fines for breaching Covid rules have been issued to children in NSW, with some placed in an unpaid work program to pay off their debt. Legal organisations say these fines should be scrapped, and a separate NSW supreme court case could also see many more ruled invalid.Reporter Christopher Knaus explores the controversial enforcement of Covid fines for vulnerable groups, and the fight to have these fines erased",2022-07-27,"Reported by Christopher Knaus and presented by Laura Murphy-Oates; produced by Joe Koning, Miles Herbert and Daniel Semo, who also did the sound design and mixing; the executive producers are Miles Martignoni, Gabrielle Jackson, Molly Glassey and Laura Murphy-Oates"
Queensland police whistleblowers speak out about domestic violence,https://www.theguardian.com/australia-news/audio/2022/jul/26/queensland-police-whistleblowers-speak-out-about-domestic-violence,"A police whistleblower has testified at an independent inquiry into the Queensland Police Service’s handling of domestic and family violence matters, alleging that racism is pervasive inside the force, and some domestic violence victims have been mocked by officers and sent away without help.Queensland state reporter Eden Gillespie details the key moments of the inquiry so far, and the push to reform the Queensland police",2022-07-26,"Reported by Eden Gillespie and presented by Laura Murphy-Oates; produced by Laura Brierley Newton; sound design and mixing by Joe Koning; executive producers are Miles Martignoni, Gabrielle Jackson, Molly Glassey and Laura Murphy-Oates"
The race to become next UK prime minister,https://www.theguardian.com/australia-news/audio/2022/jul/25/the-race-to-become-next-uk-prime-minister,"The race to become the next UK prime minister has come down to an increasingly bitter battle between Liz Truss and Rishi Sunak. Both were major figures in Boris Johnson’s cabinet but now are distancing themselves from the former PM as they set out their policy platforms.The Guardian’s political editor Heather Stewart weighs up the decision being faced by Tory members, but denied to any other voters",2022-07-25,"Presented by Hannah Moore with Heather Stewart; produced by Courtney Yusuf, Joshua Kelly, Rudi Zygadlo and Annoa Abekah-Mensah; executive producers Phil Maynard and Elizabeth Cassin"
Why are we switching off the news and what we can do about it? – with Lenore Taylor,https://www.theguardian.com/australia-news/audio/2022/jul/22/why-are-we-switching-off-the-news-and-what-we-can-do-about-it-with-lenore-taylor,"Covid-19 continues to spread and hospital numbers soar under the strain of yet another new variant. The climate crisis confronts us daily with crippling floods in Australia as well as heatwaves across the planet. As communities around the world come to grips with disaster, people have started to turn away from the news. In this episode of Full Story, Gabrielle Jackson talks to Lenore Taylor and Mike Ticher about why Australians are switching off the news – and what we can do about it",2022-07-22,Presented by Gabrielle Jackson with Lenore Taylor and Mike Ticher . Produced by Miles Herbert and Camilla Hannan . Executive produced by Gabrielle Jackson and Miles Martignoni
Australia’s ecosystems are on the verge of collapsing. Can the government change this?,https://www.theguardian.com/australia-news/audio/2022/jul/21/our-ecosystems-are-collapsing-can-the-new-government-change-this,"A new scientific report says Australia’s environment has deteriorated at an alarming rate over the last five years, with more than a dozen ecosystems showing signs of collapse, and hundreds of threatened species in dramatic decline.Environment editor Adam Morton explains to Jane Lee how the report’s findings present Labor with a real opportunity to end Australian politics’ longstanding indifference to the decline of our land and wildlife",2022-07-21,"Presented by Jane Lee, reported by Adam Morton, produced by Karishma Luthria and Laura Brierley Newton, with sound design and mixing by Joe Koning. Executive producers are Miles Martignoni, Gabrielle Jackson, Molly Glassey and Laura Murphy-Oates"
What can we expect from the 47th parliament?,https://www.theguardian.com/australia-news/audio/2022/jul/20/what-can-we-expect-from-the-47th-parliament,"When Australia’s new parliament sits next week, the Albanese government will pursue an ambitious agenda, aiming to pass legislation on climate targets and a federal integrity commission by the end of the year. Laura Murphy-Oates speaks to political editor Katharine Murphy about the makeup of the parliament and how Labor might navigate this new political landscape to fulfil key election promises",2022-07-20,"Reported by Katharine Murphy and presented by Laura Murphy-Oates; the producers are Miles Herbert and Karishma Luthria; sound design and mixing by Camilla Hannan; the executive producers are Miles Martignoni, Gabrielle Jackson and Laura Murphy-Oates"
How are we caring for older Australians in the winter Covid wave?,https://www.theguardian.com/australia-news/audio/2022/jul/19/how-are-we-caring-for-older-australians-in-the-winter-covid-wave,"Almost 100 Australian aged care residents are dying every week in the winter wave of Covid, as public health measures remain limited around the country. Meanwhile, tens of thousands of carers are leaving the underpaid and overstretched aged care workforce. Reporter Christopher Knaus explains to Jane Lee why aged care homes are still struggling in the third year of the Covid-19 pandemic.",2022-07-19,"Presented by Jane Lee, Reported by Christopher Knaus, Produced by Karishma Luthria, Laura Brierley Newton. Sound Design and Mixing by Camilla Hannan. Executive Producers Miles Martignoni, Gabrielle Jackson, Molly Glassey, Laura Murphy-Oates"
Understanding the cryptocurrency crash,https://www.theguardian.com/australia-news/audio/2022/jul/17/understanding-the-cryptocurrency-crash,"This year has been a disaster for many investors in cryptocurrencies. Alex Hern, Guardian UK technology editor, draws the parallels of the spreading panic in the new digital economy with the 2008 financial crisis",2022-07-17,"Introduced by Jane Lee. Presented by Nosheen Iqbal with Alex Hern and Alex Kho; produced by Clizia Sala, Natalie Ktena and Rudi Zygadlo; executive producers Phil Maynard and Elizabeth Cassin. Additional production by Joe Koning and Allison Chan"
Has Covid ended Labor’s honeymoon? – with Lenore Taylor,https://www.theguardian.com/australia-news/audio/2022/jul/15/has-covid-ended-labors-honeymoon-with-lenore-taylor,"According to the health minister, Mark Butler, we have yet to reach the peak of a new Covid wave. But as case numbers and deaths steadily climb, Labor has begun to pull back pandemic support. In this episode of Full Story, Gabrielle Jackson talks to Lenore Taylor and Mike Ticher about Labor’s public health response to the new Covid wave",2022-07-15,Presented by Gabrielle Jackson with Lenore Taylor and Mike Ticher. Produced by Miles Herbert and Camilla Hannan. Executive produced by Gabrielle Jackson and Miles Martignoni
Foot-and-mouth: the livestock virus brewing at Australia’s borders,https://www.theguardian.com/australia-news/audio/2022/jul/14/foot-and-mouth-the-livestock-virus-brewing-at-australias-borders,"The lethal livestock virus foot-and-mouth disease has resurfaced in Indonesia for the first time in over 30 years, dramatically raising Australia’s threat level. Guardian Australia’s rural and regional editor Gabrielle Chan explains to Jane Lee what could happen if the disease enters Australia and what governments and farmers are doing to try to prevent a domestic outbreak",2022-07-14,"Presented by Jane Lee with Gabrielle Chan, Produced by Allison Chan, Karishma Luthria, Miles Herbert. Sound Design and mixing by Camilla Hannan. Executive producers Miles Martignoni, Molly Glassey"
Fighting Australia’s winter wave of Covid,https://www.theguardian.com/australia-news/audio/2022/jul/13/fighting-australias-winter-wave-of-covid,"With Omicron infections on the rise and Australia now averaging about 30,000 new Covid cases a day, health authorities have expanded access to oral antivirals and made the fourth dose of the Covid vaccine accessible to an additional 7.4 million people. Medical editor Melissa Davey talks to Jane Lee about the latest Covid announcements and whether these measures are enough to combat this new wave",2022-07-13,"Presented by Jane Lee and reported by Melissa Davey.  Produced by Laura Brierley Newton, Karishma Luthria  and Camilla Hannan. Executive producers are Miles Martignoni and Molly Glassey."
What do the Uber files tell us about the company’s expansion tactics?,https://www.theguardian.com/australia-news/audio/2022/jul/12/what-do-the-uber-files-tell-us-about-the-companys-expansion-tactics,"A leak of internal documents reveal evidence that the company broke laws, duped police, exploited violence against drivers and secretly lobbied prime ministers and presidents in an effort to break into markets long held by taxi companies",2022-07-12,"Presented by Michael Safi with Johana Bhuiyan and Paul Lewis produced by Sami Kent ,  Rose de Larrabeiti and Rudi Zygadlo executive producers Phil Maynard and Nicole Jackson"
How long will chaos at Australian airports last?,https://www.theguardian.com/australia-news/audio/2022/jul/11/how-long-will-chaos-at-australian-airports-last,"As airlines and airports struggle with staff shortages, travellers are increasingly experiencing severe delays, lost luggage and cancelled flights. For already vulnerable travellers in particular, these chaotic scenes have led to a shortage of basic services – including wheelchairs",2022-07-11,"Presented by Gabrielle Jackson with Elias Visontay. Produced by Karishma Luthria and Allison Chan. Executive producers Molly Glassey and Miles Martignoni, who also did the sound design and mix"
Americans lose faith in the US supreme court,https://www.theguardian.com/australia-news/audio/2022/jul/08/americans-lose-faith-in-the-us-supreme-court,"The US supreme court has struck down the constitutional right to an abortion, one of several landmark decisions that will affect the lives of millions of Americans for decades to come.Jonathan Freedland and Jill Filipovic discuss whether it’s still possible for a deeply divided court of nine judges, a group that now has a 6-3 conservative majority, to keep the promise to the American people of ‘equal protection’, and what happens if it can’t",2022-07-08,"Presented by Jonathan Freedland, with Jill Filipovic, produced by Danielle Stephens, executive producer is Maz Ebtehaj."
What’s behind Sydney’s latest floods?,https://www.theguardian.com/australia-news/audio/2022/jul/07/whats-behind-sydneys-latest-floods,"As we wait to see how fast flood waters recede in Sydney and what the damage will be further north in the coming days, many are already asking: are we doing all we can to prepare for these disasters?Gabrielle Jackson speaks to Peta Levy, whose house has been flooded three times in the past 18 months, and environment reporter Graham Readfearn about what role the climate crisis is playing in recent natural disasters",2022-07-07,Presented by Gabrielle Jackson with Graham Readfearn. Produced by Karishma Luthria and Daniel Semo. The executive producer is Miles Martignoni
