title,link,description,published,contributors
Australia’s growing cult crisis,https://www.theguardian.com/australia-news/audio/2025/oct/29/australias-growing-cult-crisis-full-story-podcast,Guardian Australia’s daily news podcast examines why more people are falling prey to cults and whether the current laws are strong enough to help vulnerable people who might be lured in.Victoria correspondent Benita Kolovos speaks to Reged Ahmad about why more ‘modern’ cults are using new methods to recruit and promising ‘simple answers to complex problems’,2025-10-29,Presented by Reged Ahmad with Benita Kolovos; produced by Josh Nicholas with production assistance from Shadi Khan Saif; sound design and mix by Camilla Hannan; the executive producer is Hannah Parkes
Can Labor finally get a deal for the environment?,https://www.theguardian.com/australia-news/audio/2025/oct/28/labor-environment-deal-full-story-podcast,Parliament is back and the political fight over long-awaited legislation updating the Environment Protection and Biodiversity Conservation (EPBC) Act is expected to dominate debate.Political reporter Dan Jervis-Bardy tells Nour Haydar why the government is racing to negotiate a deal with either the Coalition or the Greens to fix Australia’s broken nature laws,2025-10-28,Presented by Nour Haydar with Dan Jervis-Bardy; produced by Karishma Luthria and Josh Nicholas; sound design and mix by Karishma Luthria; Executive producers Hannah Parkes and Miles Herbert
What the new gold rush says about our uncertain economy – Full Story,https://www.theguardian.com/australia-news/audio/2025/oct/27/gold-price-uncertain-economy-full-story-podcast,"For weeks now, thousands of Sydneysiders have queued for up to hours at a time, hoping to cash in on the soaring price of gold. Investors view the precious metal as a safe haven during times of economic uncertainty and despite fluctuating prices, gold is having its biggest rally since the 1970s. Economics editor Patrick Commins joins Reged Ahmad to break down what ‘gold fomo’ says about the state of the global economy",2025-10-27,"Presented by Reged Ahmad with Patrick Commins; produced by Shadi Khan Saif, Karishma Luthria and Camilla Hannan who also did the sound design and mix; the executive producer is Hannah Parkes"
How Centrelink illegally cancelled jobseeker payments,https://www.theguardian.com/australia-news/audio/2025/oct/27/how-centrelink-illegally-cancelled-jobseeker-payments-full-story-podcast,"Australia’s welfare system is often described as a safety net for the most vulnerable, so what happens when that safety net is yanked away?Analysis released earlier this year suggests that hundreds of thousands of Centrelink payments have been illegally cancelled since 2020, with many more suspended.Inequality reporter Cait Kelly speaks to Nour Haydar about the automated system linked to the cancellations, and the human toll of a broken system",2025-10-27,Presented by Nour Haydar with Cait Kelly; produced by Josh Nicholas and Karishma Luthria; sound design and mix by Daniel Semo; Executive producer is Hannah Parkes
The heist of the decade,https://www.theguardian.com/australia-news/audio/2025/oct/26/louvre-heist-french-crown-jewels-full-story-podcast,The art detective Arthur Brand on why thieves may have targeted the Louvre jewellery and why time is of the essence if it is to be found in one piece,2025-10-26,Presented by Helen Pidd with Angelique Chrisafis; produced by Alex Atack and Brian McNamara; the executive producer is Homa Khaleeli
Is Trump preparing for civil war?,https://www.theguardian.com/australia-news/audio/2025/oct/25/is-trump-preparing-for-civil-war-full-story-podcast,"Millions of people across the US attended No Kings protests against Donald Trump last weekend. The president publicly denied he wanted to be a king, but he posted an AI-generated video of himself dressed as one, flying a fighter jet and dumping excrement on protesters. Jonathan Freedland speaks to the political scientist Barbara Walter about the tactics the Trump administration is using against protesters",2025-10-25,"Presented by Jonathan Freedland, with Barbara Walter, produced by Danielle Stephens, and the executive producer is Zoe Hitch"
"Newsroom edition: a win for Albanese, but when it rains it pours for Sussan Ley",https://www.theguardian.com/australia-news/audio/2025/oct/24/albanese-win-sussan-ley-opposite-full-story-podcast,"After finally meeting with Donald Trump, the prime minister, Anthony Albanese passed another political test and returned home with a win. Domestically, the Coalition continued to battle over net zero and generate its own headlines for all the wrong reasons. Bridie Jabour talks to editor Lenore Taylor, national news editor Josephine Tovey and head of newsroom Mike Ticher about what Albanese’s and Sussan Ley’s two very different weeks tells us about the state of Australian politics",2025-10-24,"Presented by Bridie Jabour, with Lenore Taylor, Mike Ticher, and Josephine Tovey. Produced by Miles Herbert and Camilla Hannan. Video production by Sanjana Jose"
Can football manager Ange Postecoglou stage a comeback? – Full Story,https://www.theguardian.com/australia-news/audio/2025/oct/23/ange-postecoglou-football-manager-comeback-full-story-podcast,"After just 40 days at the reins of Nottingham Forest FC, Australia’s much-celebrated English football manager Ange Postecoglou was sacked on Saturday. It means ‘Ange’ now takes away the unfortunate title of the shortest-ever permanent managerial appointment in the history of the English Premier League.Sports writer Martin Pegan speaks to Reged Ahmad about the events that led to the move and what’s next for one of the most polarising figures in football",2025-10-23,Presented by Reged Ahmad with Martin Pegan; produced by Josh Nicholas and Karishma Luthria; sound design and mix by Camilla Hannan; executive producer Hannah Parkes
"Prince Andrew, Jeffrey Epstein and the scandal that won’t go away",https://www.theguardian.com/australia-news/audio/2025/oct/22/royal-shake-up-is-stripping-andrew-of-titles-enough-full-story-podcast,"After a storm of new allegations and headlines, Buckingham Palace has confirmed that Prince Andrew – King Charles’s younger brother – will no longer hold his royal titles. It’s the latest development in a controversy that’s haunted the British monarchy for years.In this episode of our global news podcast Today in Focus, Helen Pidd and Zoe Williams unpack the scandal that shattered royal tradition, and why so many questions remain unanswered",2025-10-22,"Presented by Helen Pidd with Zoe Williams; produced by Tom Glasser, George McDonagh and Rudi Zygadlo; executive producer Sami Kent"
Will Barnaby Joyce jump to One Nation?,https://www.theguardian.com/australia-news/audio/2025/oct/21/will-barnaby-joyce-jump-to-one-nation-full-story-podcast,"The former deputy prime minister Barnaby Joyce has confirmed his intention to quit the Nationals, further fuelling suspicions he could join Pauline Hanson at the far right of the parliament. It’s not the first time the member for New England has made headlines, but the move raises questions about the direction of the Coalition – particularly when it comes to climate policy.Guardian Australia political reporter Dan Jervis-Bardy speaks to Nour Haydar about why the well-known backbencher says he wants to quit the Nationals and what this says about the Coalition’s looming crisis over net zero",2025-10-21,Presented by Nour Haydar with Dan Jervis-Bardy; produced by Karishma Luthria and Josh Nicholas; sound design and mix by Daniel Semo; The executive producer is Hannah Parkes
