title,link,description,published,contributors
Australia’s public pool class divide,https://www.theguardian.com/global/audio/2025/feb/03/australias-public-pool-class-divide-full-story-podcast,"As the heat hits harder, Australians head to public swimming pools to cool off. They’re also an important place to learn to swim. But going for a dip is harder for some, depending on their postcode. Reged Ahmad talks to climate and environment reporter Petra Stock and Victorian state correspondent Benita Kolovos",2025-02-03,Presented by Reged Ahmad; produced by Camilla Hannan and Laura Corrigan; sound design by Cinnamon Nippard. Executive producer Miles Herbert
A journey to Greenland: Trump’s 51st state?,https://www.theguardian.com/australia-news/audio/2025/feb/02/a-journey-to-greenland-trumps-51st-state-full-story-podcast,What do Greenlanders make of the US president’s interest in their island? Miranda Bryant reports  You can support the Guardian at theguardian.com/fullstorysupport,2025-02-02,Presented by Helen Pidd with Miranda Bryant. Produced by Ruth Abrahams and Joel Cox. Executive producer Courtney Yusuf
How DeepSeek stunned the AI industry,https://www.theguardian.com/australia-news/audio/2025/feb/01/how-deepseek-stunned-the-ai-industry-full-story-podcast,"The launch of a new chatbot by Chinese artificial intelligence company DeepSeek triggered a plunge in US tech stocks as it appeared to perform as well as OpenAI’s ChatGPT and other AI models but using fewer resources.Helen Pidd speaks to Robert Booth, the Guardian’s UK technology editor, about how DeepSeek did this, the model’s security and censorship and why the US AI industry has been shaken by the launch",2025-02-01,Presented by Helen Pidd with Robert Booth; produced by Lucy Hough and Hannah Varrall; executive producer Elizabeth Cassin
"Newsroom edition: from Musk’s Doge to Dutton’s Smoge, the Coalition eyes public service cuts",https://www.theguardian.com/australia-news/audio/2025/jan/31/newsroom-edition-from-musks-doge-to-duttons-smoge-the-coalition-eyes-public-service-cuts-full-story-podcast,"Peter Dutton wants to slash thousands of government jobs in an Elon Musk-style purge of the public service. But this is not the first time an Australian politician has promised cost-cutting before an election and we don’t know much about the potential policy or its consequences. Bridie Jabour talks with the editor-in-chief, Lenore Taylor, and deputy editor Patrick Keneally about the threats to the public service and finding facts during an election campaign",2025-01-31,Presented by Bridie Jabour  with Lenore Taylor and Patrick Keneally. Produced by Cinnamon Nippard and Miles Herbert.
How to win a cost-of-living election,https://www.theguardian.com/australia-news/audio/2025/jan/29/how-to-win-a-cost-of-living-election-labor-albanese-full-story-podcast,"Around the world, soaring inflation has pushed voters to turn on incumbent governments. But one country bucked the trend – Mexico, where the leftwing Morena party recorded a landslide victory. The key to its success? A policy platform built on minimum salary rises, labour reforms and price controls on staples. So are there lessons to be learnt from the country’s success for Anthony Albanese’s Labor party? Senior business reporter Jonathan Barrett tells Nour Haydar why so many governments didn’t survive high inflation, and what Labor could learn from the country that bucked the trend  You can support the Guardian at theguardian.com/fullstorysupport",2025-01-29,Presented by Nour Haydar with Jonathan Barrett. Produced by Miles Herbert and Karishma Luthria. Sound design and mix by Camilla Hannan. The executive producer of Full Story is Hannah Parkes.
The tech titans: who’s really in charge of Donald Trump’s America?,https://www.theguardian.com/australia-news/audio/2025/jan/28/the-tech-titans-whos-really-in-charge-of-donald-trumps-america-full-story-podcast,"Donald Trump’s decision to seat super-rich tech barons Mark Zuckerberg, Tim Cook, Jeff Bezos, Elon Musk and Sundar Pichai in front of his own members of cabinet at his inauguration has sent a strong signal about who holds power in America now.Technology editor Blake Montgomery tells Reged Ahmad why the ‘broligarchs’ have become just as important to the new president as he is to them",2025-01-28,Presented by Reged Ahmad with Blake Montgomery. Produced by Allison Chan and Miles Herbert. Sound design by Cinnamon Nippard. Executive producer Hannah Parkes
Why Australia needs better whistleblower protections,https://www.theguardian.com/australia-news/audio/2025/jan/27/why-australia-needs-better-whistleblower-protections-full-story-podcast,"Blowing the whistle on corruption, wrongdoing and unethical behaviour can come at a huge personal cost to those who choose to speak out.Kieran Pender, associate legal director at the Human Rights Law Centre, tells Nour Haydar why more needs to be done to ensure workers who speak up about wrongdoing are protected",2025-01-27,Produced  by Miles Herbert; sound designed and mixed by Camilla Hannan; the executive producer is Miles Herbert
LA fires: how can we stop it happening here?,https://www.theguardian.com/australia-news/audio/2025/jan/27/la-fires-how-can-we-stop-it-happening-here-full-story-podcast,"As America’s second-largest city reels from massive fires blown in from the bush, Australians are looking for lessons on how to stop it happening to us.David Bowman, a pyrogeography and fire science professor from the University of Tasmania, tells Reged Ahmad why he thinks we need to rethink how we design our cities and our homes to live with fires",2025-01-27,Presented by Reged Ahmad; produced by Laura Corrigan; sound design by Camilla Hannan. The executive producer is Hannah Parkes
"Where did our attention spans go, and can we get them back?",https://www.theguardian.com/australia-news/audio/2025/jan/26/where-did-our-attention-spans-go-and-can-we-get-them-back-full-story-podcast,"The Oxford English Dictionary announced its word of the year at the end of 2024: ‘brain rot’. The term relates to the supposedly negative effects of consuming social media content, but it struck a chord more widely with many of us who feel we just don’t have the mental capacity we once did. Gloria Mark, a professor of informatics at the University of California, Irvine, has been studying our waning attention spans for 20 years. She tells Madeleine Finlay why she believes our powers of concentration are not beyond rescue, and reveals her top tips for finding focus  Please fill out our audience survey here: theguardian.com/fullstorysurvey",2025-01-26,"Presented by Madeleine Finlay, produced by Joshan Chana, Sound design by Tony Onuchukwu, the executive producer is Ellie Bury"
Southport attacks: the failures that allowed Axel Rudakubana to kill,https://www.theguardian.com/australia-news/audio/2025/jan/25/southport-attacks-the-failures-that-allowed-axel-rudakubana-to-kill-full-story-podcast1,"It was hard to imagine a more unlikely place for horror to unfold than a community centre holding a Taylor Swift-themed dance class in the sleepy seaside town of Southport. So when three little girls were murdered and eight other children and two adults viciously stabbed by a 17-year-old boy, it seemed incomprehensible. But before the shock could wear off, misinformation and lies about who had unleashed this misery began to spread. The result was days of racist riots and violence. Josh Halliday, the Guardian’s North of England editor, covered the attacks, the riots and now the court case of Axel Rudakubana as he was sentenced to 52 years in prison. On Monday, as the jury was expected to be sworn in, the now 18-year-old Rudakubana shocked everyone by pleading guilty to all the charges he was faced with. And this week the judge gave him a life sentence.",2025-01-25,"Presented by Helen Pidd with Josh Halliday; produced by Eleanor Briggs, Lucy Hough and Hannah Varrall; executive producer Homa Khaleeli"
