title,link,description,published,contributors
Revisited: Could bringing back its love song save one of Australia’s rarest songbirds?,https://www.theguardian.com/australia-news/audio/2022/jan/13/revisited-could-bringing-back-its-love-song-save-one-of-australias-rarest-songbirds,"It wouldn’t be Guardian Australia ‘best of’ series without a bird episode! The regent honeyeater is an endangered native Australian songbird, with only a few hundred left in the wild. A few years ago scientists noticed something odd – they were mimicking other birds, and unable to sing their own song. Environment reporter Graham Readfearn and Dr Joy Tripovich explain how this species lost its song, and whether teaching it how to sing again could help save it from extinction",2022-01-13,Presented by Laura Murphy-Oatesand reported by Graham Readfearn. Produced by Miles Herbert Joe Koningand Camilla Hannan Executive Producers Miles Martignoniand Gabrielle Jackson
Revisited: Can a pain machine create empathy?,https://www.theguardian.com/australia-news/audio/2022/jan/12/revisited-can-a-pain-machine-create-empathy,"In one of our best Full Story episodes from 2021, we explore conditions such as endometriosis, fibromyalgia and adenomyosis, which have historically been ignored. But if everyone could experience this pain, would that change? Full Story producer Ellen Leabeater speaks to artist Eugenie Lee about her mission to create a pelvic pain simulator, and the importance of empathy for chronic pain sufferers.",2022-01-12,Presented by Laura Murphy-Oatesand reported by Ellen Leabeater. Produced by Miles Herbert Joe KoningRyan Pembertonand Jon Tjhia. Executive Producers Gabrielle Jackson and Miles Martignoni
Revisited: Madison de Rozario’s path to wheelchair-racing fame,https://www.theguardian.com/australia-news/audio/2022/jan/11/revisited-madison-de-rozarios-path-to-wheelchair-racing-fame,"One of our favourite stories of 2021 looks at the career of Australian wheelchair racer Madison de Rozario, which started when she competed at the Beijing Paralympics at the age of 14. Now, the 27-year-old has cemented her place in the history books – breaking multiple records and winning three medals, including two gold, at the Tokyo Paralympics. De Rozario speaks to reporter Kieran Pender about her sometimes bumpy rise to wheelchair-racing fame and the power of the Paralympics as a vehicle for change",2022-01-11,"Presented by Laura Murphy-Oatesand reported by Kieran Pender. Produced by Karishma Luthria, Bethany Atkinson-Quinton, Joe Koning and Jane Lee. Sound design by Joe Koningand Karishma Luthria. Executive Producers Miles Martignoni Gabrielle Jacksonand Laura Murphy-Oates."
Revisited: How the Tampa affair changed Australia’s stance on asylum seekers,https://www.theguardian.com/australia-news/audio/2022/jan/10/revisited-how-the-tampa-affair-changed-australias-stance-on-asylum-seekers,"A standout 2021 episode reflecting on the 20-year anniversary of the Tampa affair. Afghan refugee Abbas Nazari, then a seven-year-old child on the MV Tampa, and Guardian journalist David Marr remember the humanitarian and political crisis that shapes Australia’s policies on asylum seekers and their claims to this day",2022-01-10,"Presented by Laura Murphy-Oates and reported by David Marr with special guest Abbas Nazari. Produced by Ellen Leabeater, Joe Koningand Jane Lee. Executive Producers Miles Martignoni Gabrielle Jackson and Laura Murphy-Oates."
Rawah Arja on how to get inside the mind of a teenage boy,https://www.theguardian.com/australia-news/audio/2022/jan/08/rawah-arja-on-how-to-get-inside-the-mind-of-a-teenage-boy,"Rawah Arja was determined to write a YA novel for – and about – teenage boys in Western Sydney. She tells Zoya Patel about how she created a story about religion, rivalries, romance, racism and redemption in The F Team",2022-01-08,Interview by Zoya Patel with Rawah Arja. Produced by Allison Chan and Daniel Semo. Executive producers Gabrielle Jackson and Melanie Tait
Revisited: are delivery drivers winning more rights in Australia?,https://www.theguardian.com/australia-news/audio/2022/jan/07/revisited-are-delivery-drivers-winning-more-rights-in-australia,"This is a replay of an episode looking at one of 2021’s landmark cases. In May last year, Australia’s Fair Work Commission ruled that Deliveroo rider Diego Franco was an employee, not a contractor. The case could have ramifications for the wider gig economy, where the use of contractors has led to widespread job insecurity, and workers are subjected to dangerous conditions.Reporter Naaman Zhou explains how the case unfolded and how, in the face of increasing pressure to give workers better rights, some companies are changing the way they operate.",2022-01-07,Reported by Naaman Zhouand presented by Laura Murphy-Oates. Produced by Miles Herbertand Ryan Pemberton. Executive Producers Miles Martignoni and Gabrielle Jackson.
Revisited: The rise of hyperpop,https://www.theguardian.com/australia-news/audio/2022/jan/06/revisited-the-rise-of-hyperpop,"In one of our best Full Story episodes from 2021, we look at the formation of a vibrant and strange genre of music called hyperpop. Its growth has been spurred on by the internet – through Soundcloud, Twitter and now Spotify – and it has been linked to some of the most exciting young artists worldwide.Freelance music writer Shaad D’Souza speaks to Laura Murphy-Oates about the rise of hyperpop and what it tells us about the influence of big corporations such as Spotify.",2022-01-06,Presented by Laura Murphy-Oatesand reported by Shaad D'Souza. Produced by Joe Koningand Ryan Pemberton. Executive Producers are Miles Martignoniand Gabrielle Jackson.
Revisited: JoJo Zaho on RuPaul’s Drag Race Down Under and First Nations representation,https://www.theguardian.com/australia-news/audio/2022/jan/05/revisited-jojo-zaho-on-rupauls-drag-race-down-under-and-first-nations-representation,"One of our favourite Full Story episodes from 2021 was about First Nations representation on the reality TV show RuPaul’s Drag Race. RuPaul’s Drag Race Down Under has been marred by controversies around race and a lack of diversity, but it also saw the debut of the show’s first Aboriginal drag queen: Biripi and Worimi queen JoJo Zaho. JoJo talks to Laura Murphy-Oates about the power of First Nations drag and the journey to Drag Race fame",2022-01-05,"Presented by Laura Murphy-Oates, Produced by Ryan Pemberton, Miles Herbert and Joe Koning. Executive Producers  Miles Martignoni, Gabrielle Jackson and Laura Murphy-Oates"
Revisited: How Isaiah survived Australia’s juvenile justice system,https://www.theguardian.com/australia-news/audio/2022/jan/04/revisited-how-isaiah-survived-australias-juvenile-justice-system,"One of Full Story’s best episodes in 2021 was about Isaiah. As a kid, Isaiah couldn’t escape the police. He went on to spend his teenage years in and out of youth detention. Now this young Dunghutti man is trying to change how our justice system treats Indigenous children",2022-01-04,"Reported and presented by Laura Murphy-Oates, produced by Ellen Leabeater, Miles Herbert and Joe Koning. Executive producers Miles Martignoni, Gabrielle Jackson and Laura Murphy-Oates"
Revisited: Vanuatu’s golden passports,https://www.theguardian.com/australia-news/audio/2022/jan/03/vanuatus-golden-passports,"One of our best Full Story episodes from 2021 was this Guardian investigation into a scheme allowing foreign nationals to purchase citizenship in Vanuatu, or ‘golden passports’ – and with it, visa-free access to the EU and UK. While such citizenship schemes are not illegal or unusual, Guardian Australia revealed that among Vanuatu’s newest citizens are senior political figures from around the world, as well as several convicted and alleged criminals Pacific editor Kate Lyons and freelance reporter Euan Ward speak to Laura Murphy-Oates about how this passport scheme works and how it could be exploited",2022-01-03,"Reported by Euan Ward and Kate Lyons. Presented by Laura Murphy-Oates, produced by Ellen Leabeater, Joe Koning, Camilla Hannan, Allison Chan and Jane Lee. Executive producers Miles Martignoni, Gabrielle Jackson, Laura Murphy-Oates"
