title,link,description,published,contributors
"Tax cuts v wage rises, pork barrelling and leaked polling: your campaign questions answered",https://www.theguardian.com/australia-news/audio/2022/may/13/tax-cuts-v-wage-rises-pork-barrelling-and-leaked-polling-your-campaign-questions-answered,"In a special episode the Guardian Australia politics team answers listeners’ questions on the election campaign, including minor party preferences and how they will effect the outcome, why wages rises are controversial but tax cuts are not, and the blurring of lines between government grants and election promises",2022-05-13,"Presented by Katharine Murphy with Sarah Martin, Amy Remeikis, Paul Karp, Daniel Hurst and Josh Butler"
Campaign catchup: how do you measure progress during a pandemic?,https://www.theguardian.com/australia-news/audio/2022/may/12/campaign-catchup-how-do-you-measure-progress-during-a-pandemic,"After the final leaders’ debate, Katharine Murphy joins Jane Lee to reflect on the unique challenges of campaigning to a disillusioned and weary electorate in the middle of a pandemic",2022-05-12,Presented by Jane Lee with Katharine Murphy. Produced by Allison Chan and Daniel Semo. The executive producer is Miles Martignoni
Putin’s dilemma: what is his next move in Ukraine?,https://www.theguardian.com/australia-news/audio/2022/may/12/putins-dilemma-what-is-his-next-move-in-ukraine,Vladimir Putin’s Victory Day speech revealed a man facing one of the biggest decisions of his presidency: to escalate or de-escalate the war in Ukraine. Andrew Roth reports,2022-05-12,"Presented by Michael Safi with Andrew Roth, produced by Alex Atack and Axel Kacoutié, executive producers are Phil Maynard and Elizabeth Cassin"
Campaign catchup: will increasing the minimum wage lead to higher inflation?,https://www.theguardian.com/australia-news/audio/2022/may/11/campaign-catchup-will-increasing-the-minimum-wage-lead-to-higher-inflation,The PM calls the opposition leader a ‘loose unit’ for supporting a rise in the minimum wage. Anthony Albanese responds that Scott Morrison is ‘loose with the truth’. Paul Karp talks to Jane Lee about what this all means for wages and the campaign,2022-05-11,Presented by Jane Lee with Paul Karp. Produced by Allison Chan and Daniel Semo. Executive producer is Miles Martignoni
How an unpredictable climate of change in Queensland could affect the election,https://www.theguardian.com/australia-news/audio/2022/may/11/how-an-unpredictable-climate-of-change-in-queensland-could-affect-the-election,"In Queensland, a big swing away from the Labor party in 2019 was a decisive factor in their defeat. However the political landscape in some seats has shifted, largely due to the rise of minor parties, a series of climate disasters, and an evolving view on the future of coal in key rural seats.Guardian Australia’s Queensland correspondent Ben Smee talks to voters in metropolitan and regional areas about what will decide their vote, and speaks to Laura Murphy-Oates about how an unpredictable climate of change in the state could affect the election",2022-05-11,"Reported by Ben Smee and presented by Laura Murphy-Oates; produced by Joe Koning, who also did the sound design and mixing; the executive producers are Miles Martignoni, Gabrielle Jackson and Laura Murphy-Oates"
Campaign catchup: why the secrecy over Australian Defence Force cultural reforms?,https://www.theguardian.com/australia-news/audio/2022/may/10/campaign-catchup-why-the-secrecy-over-australian-defence-force-cultural-reforms,"Today the leaders promised to spend big on Melbourne and Sydney transport, while Alan Tudge answered tough questions on the federal election campaign trail. And Daniel Hurst talks to Jane Lee about why the government has gone quiet on Australian Defence Force reforms designed to prevent unlawful killings",2022-05-10,Presented by Jane Lee with Daniel Hurst. Produced by Allison Chan and Daniel Semo. The executive producer is Miles Martignoni
Does anyone have a plan to fix Australia’s housing affordability crisis?,https://www.theguardian.com/australia-news/audio/2022/may/10/does-anyone-have-a-plan-to-fix-australias-housing-affordability-crisis,"With house prices and rents continuing to soar across Australia, the major parties are talking up their respective homebuying policies on the campaign trail, but will these policies actually fix Australia’s housing affordability crisis?Laura Murphy-Oates speaks to economics reporter Peter Hannam and Prof Hal Pawson about the housing policies of Labor, the Coalition and the Greens, and what impact they would have on housing affordability",2022-05-10,"Presented by Laura Murphy-Oates, reported by Peter Hannam. Produced by Laura Brierley Newton and Karishma Luthria. Sound design and mixing by Camilla Hannan. Executive producers Miles Martignoni, Gabrielle Jackson and Laura Murphy-Oates"
Campaign catchup: what can we learn beyond the noise of the second leaders’ debate?,https://www.theguardian.com/australia-news/audio/2022/may/09/campaign-catchup-what-can-we-learn-beyond-the-noise-of-the-second-leaders-debate,"The fifth week of the campaign kicked off with the second debate between Scott Morrison and Anthony Albanese. Katharine Murphy tells Jane Lee that beyond the noisy clashes, there were strategies designed to capture as many prepoll voters as possible",2022-05-09,Presented by Jane Lee with Katharine Murphy. Produced by Allison Chan. Executive Producers Miles Martignoni and Gabrielle Jackson
The US supreme court is ready to overturn the right to an abortion. What happens next?,https://www.theguardian.com/australia-news/audio/2022/may/09/the-us-supreme-court-is-ready-to-overturn-the-right-to-an-abortion-what-happens-next,"A leaked draft opinion lays out the supreme court’s plans to overturn Roe v Wade. It is something abortion activists have long feared – and will have lasting repercussions for all Americans, reports Jessica Glenza",2022-05-09,Presented by Nosheen Iqbal with Jessica Glenza; Produced by Tom Glasser and Eva Krysiak; Sound Design by Rudi Zygadlo; Executive Producers are Mythili Raoand Phil Maynard; Additional Production by Joe Koning.
Campaign catchup: Anthony Albanese vs the media,https://www.theguardian.com/australia-news/audio/2022/may/06/campaign-catchup-anthony-albanese-vs-the-media,"Journalists are testing Labor leader Anthony Albanese on his ability to recall policy details and to stand up to the press pack, but are these the right questions to ask to assess whether he’s fit to be prime minister? Political editor Katharine Murphy and Jane Lee discuss how much the political theatre of the election campaign matters for your vote",2022-05-06,"Presented by Jane Lee with Katharine Murphy, produced by Allison Chan, executive producer Miles Martignoni"
