title,link,description,published,contributors
"How did ex-NSW deputy premier John Barilaro get his $500,000 trade job?",https://www.theguardian.com/australia-news/audio/2022/jun/29/how-did-ex-nsw-deputy-premier-john-barilaro-get-his-500000-trade-job,"Months after former NSW deputy premier John Barilaro quit politics, he was appointed NSW’s trade commissioner to New York City – a role he created while he was in office. As the first of two inquiries into Barilaro’s appointment begins today, Guardian Australia’s NSW state correspondent Michael McGowan explains to Jane Lee what we know so far about how he was selected for the job",2022-06-29,"Presented by Jane Lee with Michael McGowan. Produced by Karishma Luthria and Camilla Hannan, who also did the sound design and mixing. Executive producer Gabrielle Jackson"
The ugly truth about beauty filters,https://www.theguardian.com/australia-news/audio/2022/jun/28/the-ugly-truth-about-beauty-filters,"So-called ‘beauty filters’ have become commonplace for selfies on social media. They offer users an instantly made-up, blemish-free version of themselves to share with the world online. But filters can insidiously reinforce western beauty standards, and encourage some to resort to drastic measures in order to conform with them in real life.Full Story producer Karishma Luthria speaks with social media reporter Matilda Boseley about cosmetic filters’ harms and what can be done to prevent them.",2022-06-28,"Presented by Jane Lee, reported by Karishma Luthria and Matilda Boseley. Produced by Ellen Leabeater, Karishma Luthria and Daniel Semo. Executive Producers Miles Martignoni, Gabrielle Jackson and Laura Murphy-Oates"
What’s at stake in the extradition of Julian Assange?,https://www.theguardian.com/australia-news/audio/2022/jun/27/whats-at-stake-in-the-extradition-of-julian-assange,"After the UK home secretary decided to extradite Julian Assange to face trial and a possible life sentence in the US, Ben Quinn reports on what the ruling means for the WikiLeaks founder – and for press freedom",2022-06-27,Presented by Michael Safi with Ben Quinn; produced by Sami Kent and Axel Kacoutié. Executive producers are Phil Maynard and Elizabeth Cassin. Introduced by Jane Lee with additional production by Daniel Semo
"Labor wants the climate wars to be over, but are they? – with Lenore Taylor",https://www.theguardian.com/australia-news/audio/2022/jun/24/labor-wants-the-climate-wars-to-be-over-but-are-they-with-lenore-taylor,"On the night Anthony Albanese was elected, he promised an end to the so-called climate wars. But a looming energy crisis has immediately hit the new Labor government. As a cold winter and the war in Ukraine put strain on the energy grid, we look at the pressures and opportunities facing the new government.In this episode of Full Story, Gabrielle Jackson talks to Lenore Taylor and Mike Ticher about Labor’s response to the energy crisis, and the opportunity to have a more intelligent debate about climate action",2022-06-24,Presented by Gabrielle Jackson with Lenore Taylor and Mike Ticher. Produced by Miles Herbert and Joe Koning. Executive produced by Gabrielle Jackson
After the freeze: can Australia and China rekindle relations?,https://www.theguardian.com/australia-news/audio/2022/jun/23/after-the-freeze-can-australia-and-china-rekindle-relations,Australia and China’s defence ministers have met in person for the first time since China froze its communications with high-level Australian politicians in early 2020. Foreign affairs and defence correspondent Daniel Hurst speaks with Jane Lee about the key tensions that remain unresolved between the two countries now that the freeze is over.,2022-06-23,"Presented by Jane Lee with Daniel Hurst. Produced by Joe Koning, who also did the sound design and mixing. Executive producers Gabrielle Jackson and Laura Murphy-Oates"
The legal battle to prevent Aboriginal people from being deported,https://www.theguardian.com/australia-news/audio/2022/jun/22/the-legal-battle-to-prevent-aboriginal-people-from-being-deported,"The Albanese government is under pressure to end a legal fight over whether the Australian government should have the power to deport Aboriginal non-citizens. The high court appeal - launched by the Morrison government - could see at least a dozen Aboriginal people face detention or deportation, if they are not granted a visa.Laura Murphy-Oates speaks to political reporter Paul Karp about the Aboriginal people caught in our immigration system, and why this is the high court’s most significant constitutional decision in recent years",2022-06-22,"Reported by Paul Karp and presented by Laura Murphy-Oates : produced by Miles Herbert and Karishma Luthria ; sound design and mixing by Daniel Semo; the executive producers are Miles Martignoni , Gabrielle Jackson and Laura Murphy-Oates"
Why Australia is running out of teachers,https://www.theguardian.com/australia-news/audio/2022/jun/21/why-australia-is-running-out-of-teachers,"Australia is facing a national teacher shortage, with federal government modelling predicting a shortfall of more than 4,000 teachers over the next four years. Victorian state reporter Adeshola Ore tells Jane Lee what’s causing this crisis and what can be done about it",2022-06-21,"Presented by Jane Lee with Adeshola Ore. Produced by Allison Chan and Jane Lee. Sound design and mixing by Daniel Semo. Executive producers Miles Martignoni, Gabrielle Jackson, Laura Murphy-Oates"
The disappearance of Dom Phillips and Bruno Pereira,https://www.theguardian.com/australia-news/audio/2022/jun/20/the-disappearance-of-dom-phillips-and-bruno-pereira,Brazilian police have arrested two men in connection with the alleged murder of British journalist Dom Phillips and Indigenous expert Bruno Pereira. The pair went missing on an expedition in the Javari region,2022-06-20,"Presented by  Nosheen Iqbal  with  Jonathan Watts ,  Tom Phillips  and  Gary Calton ; produced by  Alex Atack  and  Iain Chambers"
Will your wages rise under Labor?,https://www.theguardian.com/australia-news/audio/2022/jun/17/will-your-wages-rise-under-labor,"The Fair Work Commission has handed down its decision in the annual wage review, granting a 5.2% increase to the national minimum wage and 4.6% for award minimums.Laura Murphy-Oates speaks to political reporter Paul Karp about what this means for workers and employers, and Labor’s broader plan for wages",2022-06-17,"reported by Paul Karpand presented by Laura Murphy-Oates; produced by Allison Chan, Jane Lee, Miles Herbert and Karishma Luthria; sound design and mixing by Joe Koning; the executive producers are Miles Martignoni, Gabrielle Jacksonand Laura Murphy-Oates"
The funeral fund accused of targeting vulnerable Aboriginal communities,https://www.theguardian.com/australia-news/audio/2022/jun/16/the-funeral-fund-accused-of-targeting-vulnerable-aboriginal-communities,"For 30 years a company called Youpla sold low-value funeral insurance in Aboriginal communities, until it collapsed earlier this year – leaving thousands of people on low incomes unable to pay for funerals. The Australian corporate regulator is now suing the company for misleading conduct, and according to a report to creditors, the company’s liquidator is investigating whether some of its directors may have committed offences under the Corporations Act.Indigenous affairs editor, Lorena Allam, and senior business reporter, Ben Butler, detail how this company operated, and whether Aboriginal families can recover the millions of dollars they paid into this fund",2022-06-16,"Presented by Laura Murphy-Oates, reported by Lorena Allam and Ben Butler. Produced by Laura Brierley Newton and Karishma Luthria. Sound design and mixing by Camilla Hannan. Executive producers are Miles Martignoni, Gabrielle Jackson and Laura Murphy-Oates"
