title,link,description,published,contributors
Missteps and misinformation on the voice to parliament,https://www.theguardian.com/australia-news/audio/2023/may/23/missteps-and-misinformation-on-the-voice-to-parliament-full-story-podcast,"After falsely claiming the grandson of the land rights activist Vincent Lingiari is voting no to Australia’s Indigenous voice to parliament, the no campaign has been accused of spreading misinformation. Elsewhere, concerns have been raised that some community consultations on the voice lack Aboriginal representation.Indigenous affairs editor Lorena Allam on the misinformation surrounding the voice, and the Aboriginal people raising the alarm",2023-05-23,"Presented by Laura Murphy-Oates with Lorena Allam, produced by Camilla Hannan Laura Murphy-Oates and  Daniel Semo, Miles Martignoni is the executive producer"
PwC scandal: should we trust private companies with government secrets?,https://www.theguardian.com/australia-news/audio/2023/may/22/pwc-scandal-should-we-trust-private-companies-with-government-secrets-full-story-podcast,"Consultants at PricewaterhouseCoopers used government secrets to help clients in Australia and the US avoid tax – a scandal that has forced resignations and threatens contracts worth hundreds of millions. The federal government has been warned to reconsider its relationship with the consulting industry, which rakes in billions from the government each year.Reporter Henry Belot on how a series of secretive emails marked “for your eyes only” exposed this scandal, and the government’s overreliance on consulting firms that some call a “shadow public service”",2023-05-22,Presented by Laura Murphy-Oates with Henry Belot. Produced by Karishma Luthria and Laura Murphy-Oates. Sound design and mixing by Daniel Semo. Executive producer Miles Martignoni
Why gas is not the answer to our net zero ambitions   with Lenore Taylor,https://www.theguardian.com/australia-news/audio/2023/may/19/why-gas-is-not-the-answer-to-our-net-zero-ambitions-full-story-podcast-with-lenore-taylor,"It seems everyone is talking up gas expansion as a solution to ending the climate crisis. Federal resources minister Madeleine King says Australia needs to remain an essential supplier of gas, while opposition leader Peter Dutton is telling the gas industry to fight off Labor’s ‘renewable zealotry’. But in reality gas power is undeniably in decline.Gabrielle Jackson talks to Guardian Australia’s editor-in-chief Lenore Taylor and live news editor Patrick Keneally about why we need to talk about the fossil fuel",2023-05-19,Presented by Gabrielle Jackson with Lenore Taylor and Patrick Keneally . Produced by Miles Herbert and Daniel Semo . Executive producer Gabrielle Jackson
Sudanese Australians call for help as war breaks out,https://www.theguardian.com/australia-news/audio/2023/may/18/sudanese-australians-call-for-help-as-war-breaks-out-full-story-podcast,"A month since conflict began between rival military groups, more than 150,000 people have fled Sudan. Jane Lee speaks with Plan International’s Sara Sinada about the war and how it affects her family there and in Australia",2023-05-18,Presented by Jane Lee. Produced by Miles Herbert and Joe Koning. The Executive Producer is Miles Martignoni
Amy Remeikis on one year of the Albanese government,https://www.theguardian.com/australia-news/audio/2023/may/17/one-year-of-the-albanese-government-full-story-podcast-with-amy-remeikis,"This week marks a year since Anthony Albanese and the Labor party swept into power, promising a new chapter of Australian politics.Guardian Australia political reporter Amy Remeikis joins Laura Murphy-Oates to discuss the defining moments of Labor’s first year in office, and whether it’s living up to a promise to ‘leave no one behind’",2023-05-17,Presented by Laura Murphy-Oates with Amy Remeikis. Produced by Karishma Luthria and Laura Murphy-Oates. Sound design and mixing by Daniel Semo. Theme music by Joe Koning. Executive producer Hannah Parkes.
Flight delayed? Airlines may be forced to compensate you,https://www.theguardian.com/australia-news/audio/2023/may/16/flight-delayed-airlines-may-be-forced-to-compensate-you-full-story-podcast,Australian airlines could soon be forced to pay cash compensation to passengers whose flights are delayed or cancelled as part of a broader push to change local aviation laws that some believe are ‘lagging behind the rest of the world’.Laura Murphy-Oates speaks to transport and urban affairs reporter Elias Visontay about how airlines are letting down consumers and what the government could do about it,2023-05-16,Presented by Laura Murphy-Oates with Elias Visontay produced by Laura Murphy-Oates and Karishma Luthria Sound design Daniel Semo.  Executive Producer Miles Martignoni
How Donald Trump was found liable for sexual abuse,https://www.theguardian.com/australia-news/audio/2023/may/15/how-donald-trump-was-found-liable-for-sexual-abuse-full-story-podcast,"On Tuesday, a jury in New York found that the former US president Donald Trump sexually abused magazine writer E Jean Carroll in the 1990s and then defamed her by branding her a liar.On Wednesday, Trump made the same baseless claims about Carroll that led to him losing the case – this time, live on CNN to millions of viewers.This week, Jonathan Freedland talks to Guardian US columnist Margaret Sullivan about the fallout from the E Jean Carroll case. The pair discuss how the media should cover a 2024 presidential candidate who has been impeached twice, indicted by a federal court and who is now legally defined as a sexual predator",2023-05-15,Introduced by Laura Murphy-Oates. Presented by Jonathan Freedland with Margaret Sullivan. Produced by Danielle Stephens. Executive producer is Maz Ebtehaj
Why we should avoid an immigration scare campaign   with Lenore Taylor,https://www.theguardian.com/australia-news/audio/2023/may/12/why-we-should-avoid-an-immigration-scare-campaign-full-story-podcast-with-lenore-taylor,"The federal budget has predicted a surge in net overseas migration this year, before a return to pre-pandemic forecasts. But the Coalition has accused the Albanese government of allowing the number of immigrants to balloon, which it says will further entrench a nationwide housing crisis.Gabrielle Jackson talks to Guardian Australia’s editor-in-chief Lenore Taylor and head of news Mike Ticher about getting the facts straight on immigration",2023-05-12,Lenore Taylor and Mike Ticher. Presented by Gabrielle Jackson. Produced by Miles Herbert and Daniel Semo. Executive producer Gabrielle Jackson
How Australian sports make money from gambling,https://www.theguardian.com/australia-news/audio/2023/may/10/how-australian-sports-make-money-from-gambling-full-story-podcast,"As the online gambling industry grows, at least one Australian football league is taking a greater share of its revenue. Reporter Henry Belot tells Jane Lee why this is a problem for fans, punters and even some players",2023-05-10,"Presented by Jane Lee with Henry Belot. Produced by Karishma Luthria, Jane Lee and Joe Koning. Sound design and mixing by Joe Koning. Executive producer Hannah Parkes"
A little help from Labor in a battlers’ budget – but is it enough?,https://www.theguardian.com/australia-news/audio/2023/may/10/a-little-help-from-labor-in-a-battlers-budget-but-is-it-enough,"In its first full-year budget Labor has provided much-needed cost-of-living relief to people doing it tough, including a huge spend on Medicare to help more people see the GP for free. However, as editor-in-chief Lenore Taylor writes, this help is ‘spread widely and a little bit thin’.Guardian Australia reporters break down the budget’s key features, plus chief political correspondent Paul Karp and Lenore Taylor explain whether the relief in this budget is enough for voters to keep the faith",2023-05-10,"Presented by Laura Murphy-Oates with Lenore Taylor, Paul Karp, Anne Davies, Adam Morton and Peter Hannam. Produced by Miles Herbert. The executive producer is Miles Martignoni"
